FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,CHECKLIST A,CHECKLIST B,CHECKLIST C,CHECKLIST D,CHECKLIST E,ADMISSION STATUS,KETERANGAN PENGUJI 1,KETERANGAN PENGUJI 2,KETERANGAN PENGUJI 3,
Participant 520,Participant 520,Wanita,11/07/2002,85000000520,Arts - Flag,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 555,Participant 555,Wanita,16/10/1998,85000000555,Arts - Flag,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 592,Participant 592,Wanita,25/02/1995,85000000592,Arts - Flag,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 661,Participant 661,Wanita,11/12/2003,85000000661,Arts - Flag,Solo,No,No,Yes,Yes,Yes,Yes,,,,
Participant 715,Participant 715,Wanita,03/04/2000,85000000715,Arts - Flag,Magelang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 739,Participant 739,Pria,16/07/1994,85000000739,Arts - Flag,Bali,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 784,Participant 784,Pria,13/12/1998,85000000784,Arts - Flag,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2,Participant 2,Wanita,13/11/1999,85000000002,Arts - Movement,Solo,No,No,No,Yes,Yes,No,,,,
Participant 94,Participant 94,Wanita,30/05/2000,85000000094,Arts - Movement,Solo,Yes,No,No,Yes,Yes,Yes,,,,
Participant 120,Participant 120,Wanita,16/06/1994,85000000120,Arts - Movement,Nias,Yes,Yes,Yes,Yes,Yes,Yes,,,,
participant 139,participant 139,Wanita,01/03/2004,85000000139,Arts - Movement,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 150,Participant 150,Wanita,19/07/2002,85000000150,Arts - Movement,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 151,Participant 151,Wanita,07/09/1999,85000000151,Arts - Movement,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 204,Participant 204,Wanita,07/08/2003,85000000204,Arts - Movement,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 222,Participant 222,Wanita,30/05/2000,85000000222,Arts - Movement,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 338,Participant 338,Wanita,03/05/2003,85000000338,Arts - Movement,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 425,Participant 425,Wanita,15/02/2004,85000000425,Arts - Movement,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 464,Participant 464,Wanita,25/01/1995,85000000464,Arts - Movement,Surabaya,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 478,Participant 478,Wanita,15/09/2000,85000000478,Arts - Movement,Bali,Yes,Yes,Yes,No,No,No,,,,
PARTICIPANT 553,PARTICIPANT 553,Wanita,10/03/2004,85000000553,Arts - Movement,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 559,Participant 559,Wanita,13/05/1997,85000000559,Arts - Movement,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 573,Participant 573,Pria,03/08/2004,85000000573,Arts - Movement,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 625,Participant 625,Wanita,21/05/1999,85000000625,Arts - Movement,Solo,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 767,Participant 767,Pria,21/04/2000,85000000767,Arts - Movement,Solo,No,Yes,Yes,Yes,No,Yes,,,,
Participant 781,Participant 781,Wanita,26/10/1999,85000000781,Arts - Movement,Solo,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 595,Participant 595,Pria,22/08/1998,85000000595,Arts - Movement,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 5,Participant 5,Wanita,29/05/1994,85000000005,Arts - Percussion,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 7,Participant 7,Wanita,10/04/2003,85000000007,Arts - Percussion,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 9,Participant 9,Wanita,13/09/2004,85000000009,Arts - Percussion,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 10,Participant 10,Wanita,06/08/2002,85000000010,Arts - Percussion,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 12,Participant 12,Wanita,27/11/2003,85000000012,Arts - Percussion,Solo,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 14,Participant 14,Wanita,22/10/2004,85000000014,Arts - Percussion,Jakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 96,Participant 96,Wanita,11/01/2000,85000000096,Arts - Percussion,Jakarta,Yes,No,No,Yes,Yes,Yes,,,,
Participant 100,Participant 100,Wanita,30/04/1989,85000000100,Arts - Percussion,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 105,Participant 105,Wanita,20/01/1998,85000000105,Arts - Percussion,Ngawi,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 114,Participant 114,Wanita,01/03/1996,85000000114,Arts - Percussion,Solo,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 132,Participant 132,Wanita,11/02/1992,85000000132,Arts - Percussion,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
participant 155,participant 155,Wanita,13/10/1994,85000000155,Arts - Percussion,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
participant 161,participant 161,Wanita,23/12/1982,85000000161,Arts - Percussion,Madiun,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 169,Participant 169,Wanita,15/02/1981,85000000169,Arts - Percussion,Madiun,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 191,Participant 191,Wanita,14/04/1993,85000000191,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 207,Participant 207,Wanita,13/05/2002,85000000207,Arts - Percussion,Yogyakarta,Yes,No,No,Yes,Yes,Yes,,,,
Participant 233,Participant 233,Wanita,05/09/1991,85000000233,Arts - Percussion,Tangerang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 235,Participant 235,Wanita,05/04/2000,85000000235,Arts - Percussion,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 236,Participant 236,Wanita,22/05/1997,85000000236,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 239,PARTICIPANT 239,Wanita,10/12/2000,85000000239,Arts - Percussion,Nias,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 240,Participant 240,Wanita,02/07/1998,85000000240,Arts - Percussion,Jakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 245,PARTICIPANT 245,Wanita,09/08/2003,85000000245,Arts - Percussion,Nias,No,Yes,Yes,Yes,Yes,No,,,,
Participant 250,Participant 250,Wanita,17/06/2001,85000000250,Arts - Percussion,Samarinda,No,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 313,PARTICIPANT 313,Wanita,01/03/2001,85000000313,Arts - Percussion,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 352,PARTICIPANT 352,Wanita,09/07/1997,85000000352,Arts - Percussion,Boyolali,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 360,Participant 360,Wanita,08/04/1996,85000000360,Arts - Percussion,Jakarta,Yes,No,No,Yes,Yes,Yes,,,,
Participant 373,Participant 373,Wanita,15/05/1994,85000000373,Arts - Percussion,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
participant 376,participant 376,Wanita,09/10/1999,85000000376,Arts - Percussion,Sragen,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 377,Participant 377,Wanita,15/02/1995,85000000377,Arts - Percussion,Sragen,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 389,Participant 389,Wanita,27/06/1997,85000000389,Arts - Percussion,Boyolali,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 399,Participant 399,Wanita,18/03/1999,85000000399,Arts - Percussion,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 400,Participant 400,Wanita,02/07/1992,85000000400,Arts - Percussion,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 419,Participant 419,Wanita,24/04/2004,85000000419,Arts - Percussion,Solo,Yes,Yes,Yes,No,No,Yes,,,,
Participant 437,Participant 437,Wanita,28/09/1977,85000000437,Arts - Percussion,Bandung,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 472,Participant 472,Wanita,25/03/2002,85000000472,Arts - Percussion,Solo,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 486,Participant 486,Wanita,17/11/2000,85000000486,Arts - Percussion,Magelang,No,No,Yes,Yes,Yes,Yes,,,,
Participant 2516,Participant 2516,Wanita,21/04/2001,85000002516,Arts - Percussion,Yogyakarta,No,Yes,No,Yes,Yes,No,,,,
Participant 2530,Participant 2530,Wanita,17/11/1997,85000002530,Arts - Percussion,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,,
Participant 2531,Participant 2531,Wanita,23/08/1997,85000002531,Arts - Percussion,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,,
Participant 2537,Participant 2537,Wanita,25/07/1996,85000002537,Arts - Percussion,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,,
Participant 516,Participant 516,Wanita,18/02/2000,85000000516,Arts - Percussion,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 540,Participant 540,Wanita,07/04/2003,85000000540,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 550,Participant 550,Wanita,21/06/1989,85000000550,Arts - Percussion,Madiun,Yes,Yes,Yes,No,No,Yes,,,,
Participant 569,Participant 569,Wanita,16/02/2004,85000000569,Arts - Percussion,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 590,Participant 590,Wanita,29/08/1995,85000000590,Arts - Percussion,Solo,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 608,Participant 608,Wanita,19/07/1996,85000000608,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,No,No,Yes,,,,
Participant 609,Participant 609,Wanita,20/04/1993,85000000609,Arts - Percussion,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 617,Participant 617,Wanita,15/01/2003,85000000617,Arts - Percussion,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 622,Participant 622,Wanita,08/12/1995,85000000622,Arts - Percussion,Bali,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 623,Participant 623,Wanita,06/07/1999,85000000623,Arts - Percussion,Jakarta,Yes,Yes,No,No,Yes,No,,,,
Participant 626,Participant 626,Wanita,02/10/1996,85000000626,Arts - Percussion,Jakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 632,Participant 632,Wanita,08/04/1987,85000000632,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 663,Participant 663,Wanita,06/07/2002,85000000663,Arts - Percussion,Jakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 681,Participant 681,Wanita,27/04/1999,85000000681,Arts - Percussion,Solo ,Yes,Yes,No,Yes,No,Yes,,,,
Participant 704,Participant 704,Wanita,19/01/2000,85000000704,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 712,Participant 712,Wanita,13/05/2003,85000000712,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 714,Participant 714,Wanita,12/10/2003,85000000714,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 752,Participant 752,Wanita,07/09/2003,85000000752,Arts - Percussion,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 753,Participant 753,Wanita,03/05/1997,85000000753,Arts - Percussion,Solo,Yes,Yes,Yes,No,Yes,No,,,,
PARTICIPANT 764,PARTICIPANT 764,Wanita,15/07/2002,85000000764,Arts - Percussion,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 765,Participant 765,Wanita,12/11/1998,85000000765,Arts - Percussion,Solo,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 768,Participant 768,Wanita,17/04/2004,85000000768,Arts - Percussion,Wonogiri,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 780,Participant 780,Wanita,02/07/2002,85000000780,Arts - Percussion,Semarang,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 783,Participant 783,Wanita,11/03/2002,85000000783,Arts - Percussion,Semarang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 814,Participant 814,Wanita,22/07/2000,85000000814,Arts - Percussion,Bali,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 815,Participant 815,Wanita,09/01/2002,85000000815,Arts - Percussion,Bali,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 819,Participant 819,Wanita,27/04/2000,85000000819,Arts - Percussion,Solo,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 838,Participant 838,Wanita,31/07/1999,85000000838,Arts - Percussion,Yogyakarta,Yes,Yes,No,Yes,Yes,No,,,,
Participant 851,Participant 851,Wanita,12/09/1998,85000000851,Arts - Percussion,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 4,Participant 4,Wanita,08/09/1994,85000000004,Arts - Percussion,Solo,Yes,No,No,Yes,Yes,Yes,,,,
Participant 50,Participant 50,Pria,09/06/1982,85000000050,Audio - Engineer,Ngawi,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 51,Participant 51,Pria,16/11/1997,85000000051,Audio - Engineer,Ngawi,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 113,Participant 113,Pria,08/06/1979,85000000113,Audio - Engineer,Ngawi,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 122,Participant 122,Pria,19/02/1975,85000000122,Audio - Engineer,Madiun,Yes,Yes,Yes,No,No,Yes,,,,
Participant 202,Participant 202,Pria,23/05/1975,85000000202,Audio - Engineer,Semarang,Yes,Yes,Yes,No,No,Yes,,,,
Participant 216,Participant 216,Pria,03/10/1982,85000000216,Audio - Engineer,Solo,Yes,Yes,Yes,No,No,Yes,,,,
Participant 243,Participant 243,Pria,10/09/1977,85000000243,Audio - Engineer,Jakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 275,Participant 275,Pria,15/04/1988,85000000275,Audio - Engineer,Bandung,Yes,Yes,Yes,No,No,Yes,,,,
Participant 298,Participant 298,Pria,04/03/2004,85000000298,Audio - Engineer,Solo,No,Yes,Yes,Yes,Yes,No,,,,
Participant 299,Participant 299,Pria,26/06/1970,85000000299,Audio - Engineer,Samarinda,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 331,Participant 331,Pria,16/11/1998,85000000331,Audio - Engineer,Samarinda,Yes,Yes,No,No,No,Yes,,,,
Participant 420,Participant 420,Pria,13/04/1984,85000000420,Audio - Engineer,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2513,Participant 2513,Pria,21/01/1982,85000002513,Audio - Engineer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2529,Participant 2529,Pria,06/02/1989,85000002529,Audio - Engineer,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 506,Participant 506,Pria,19/04/1981,85000000506,Audio - Engineer,Surabaya,Yes,Yes,Yes,No,No,Yes,,,,
Participant 575,Participant 575,Pria,18/11/1976,85000000575,Audio - Engineer,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 583,Participant 583,Pria,22/01/1992,85000000583,Audio - Engineer,Yogyakarta,Yes,Yes,Yes,No,No,Yes,,,,
Participant 607,Participant 607,Pria,31/03/2000,85000000607,Audio - Engineer,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 794,Participant 794,Pria,31/07/2002,85000000794,Audio - Engineer,Jakarta,Yes,Yes,Yes,No,No,Yes,,,,
Participant 828,Participant 828,Pria,17/06/1995,85000000828,Audio - Engineer,Bali,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 830,Participant 830,Wanita,22/01/1992,85000000830,Audio - Engineer,Solo,Yes,Yes,No,Yes,Yes,Yes,,,,
PARTICIPANT 831,PARTICIPANT 831,Pria,23/04/1985,85000000831,Audio - Engineer,Solo,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 835,Participant 835,Pria,30/07/1999,85000000835,Audio - Engineer,Bali,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 843,Participant 843,Pria,05/06/1966,85000000843,Audio - Engineer,Tangerang,Yes,Yes,No,No,Yes,No,,,,
Participant 194,Participant 194,Pria,16/03/1980,85000000194,Audio - Engineer,Nias,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 234,Participant 234,Pria,19/11/1998,85000000234,Audio - Engineer,Semarang,Yes,Yes,Yes,No,No,No,,,,
Participant 2533,Participant 2533,Pria,17/10/1989,85000002533,Audio - Engineer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 21,Participant 21,Pria,15/05/1996,85000000021,Music - Bass,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 115,Participant 115,Pria,10/10/1994,85000000115,Music - Bass,Ngawi,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 217,Participant 217,Pria,05/03/1980,85000000217,Music - Bass,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 246,Participant 246,Pria,18/05/1994,85000000246,Music - Bass,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 248,Participant 248,Pria,18/03/1976,85000000248,Music - Bass,Tangerang,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 304,Participant 304,Pria,14/10/2000,85000000304,Music - Bass,Samarinda,Yes,Yes,No,Yes,Yes,No,,,,
Participant 306,Participant 306,Wanita,27/07/2004,85000000306,Music - Bass,Samarinda,No,Yes,No,Yes,Yes,Yes,,,,
Participant 315,Participant 315,Pria,25/05/2003,85000000315,Music - Bass,Samarinda,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 332,PARTICIPANT 332,Pria,21/11/2004,85000000332,Music - Bass,Samarinda,Yes,Yes,No,Yes,Yes,No,,,,
Participant 362,Participant 362,Pria,25/10/1983,85000000362,Music - Bass,Bandung,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 374,Participant 374,Pria,19/02/1989,85000000374,Music - Bass,Boyolali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 388,Participant 388,Pria,15/05/2004,85000000388,Music - Bass,Solo,Yes,No,No,Yes,Yes,Yes,,,,
Participant 395,Participant 395,Pria,13/07/1998,85000000395,Music - Bass,Boyolali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 403,Participant 403,Pria,13/06/2001,85000000403,Music - Bass,Yogyakarta,Yes,Yes,Yes,No,No,Yes,,,,
Participant 418,Participant 418,Pria,09/09/2001,85000000418,Music - Bass,Bali,Yes,Yes,Yes,No,No,Yes,,,,
Participant 2517,Participant 2517,Pria,31/10/1988,85000002517,Music - Bass,Yogyakarta,Yes,Yes,No,No,Yes,Yes,,,,
PARTICIPANT 2526,PARTICIPANT 2526,Pria,07/07/1986,85000002526,Music - Bass,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,,
participant 2542,participant 2542,Pria,05/04/1983,85000002542,Music - Bass,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2556,Participant 2556,Pria,07/02/1997,85000002556,Music - Bass,Yogyakarta,No,No,Yes,Yes,Yes,Yes,,,,
Participant 536,Participant 536,Pria,09/09/1996,85000000536,Music - Bass,Bali,No,Yes,Yes,No,No,Yes,,,,
Participant 568,Participant 568,Pria,04/12/1982,85000000568,Music - Bass,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 644,Participant 644,Pria,04/10/1983,85000000644,Music - Bass,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 658,Participant 658,Pria,07/02/1995,85000000658,Music - Bass,Bali,Yes,No,No,No,Yes,Yes,,,,
Participant 717,Participant 717,Pria,29/06/1989,85000000717,Music - Bass,Solo,Yes,No,Yes,Yes,No,No,,,,
Participant 785,Participant 785,Pria,23/11/1996,85000000785,Music - Bass,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 822,Participant 822,Pria,07/06/1989,85000000822,Music - Bass,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 22,Participant 22,Pria,02/02/2002,85000000022,Music - Bass,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
participant 2506,participant 2506,Pria,04/11/1991,85000002506,Music - Bass,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,,
Participant 23,Participant 23,Pria,17/06/1993,85000000023,Music - Drum,Tangerang,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 25,Participant 25,Pria,24/09/1998,85000000025,Music - Drum,Pekalongan,Yes,Yes,Yes,No,No,Yes,,,,
Participant 26,Participant 26,Pria,27/08/2002,85000000026,Music - Drum,Pekalongan,No,Yes,Yes,Yes,Yes,No,,,,
Participant 92,Participant 92,Pria,13/09/1993,85000000092,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 116,PARTICIPANT 116,Pria,24/09/2002,85000000116,Music - Drum,Nias,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 188,Participant 188,Pria,04/06/1994,85000000188,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 231,Participant 231,Pria,23/08/1991,85000000231,Music - Drum,Tangerang,Yes,Yes,Yes,No,No,No,,,,
Participant 278,Participant 278,Pria,13/12/2001,85000000278,Music - Drum,Samarinda,No,Yes,Yes,No,No,Yes,,,,
Participant 296,Participant 296,Pria,05/01/1998,85000000296,Music - Drum,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 316,Participant 316,Pria,25/05/2003,85000000316,Music - Drum,Samarinda,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 348,Participant 348,Pria,05/03/1997,85000000348,Music - Drum,Semarang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 363,Participant 363,Pria,18/10/1998,85000000363,Music - Drum,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 393,Participant 393,Pria,15/05/1992,85000000393,Music - Drum,Solo,No,No,No,Yes,Yes,Yes,,,,
Participant 411,Participant 411,Pria,23/07/2003,85000000411,Music - Drum,Wonogiri,No,Yes,Yes,Yes,Yes,No,,,,
Participant 426,Participant 426,Pria,26/10/1998,85000000426,Music - Drum,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 441,Participant 441,Pria,15/05/2003,85000000441,Music - Drum,Bali,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 450,Participant 450,Pria,26/04/1993,85000000450,Music - Drum,Solo,Yes,Yes,No,Yes,Yes,No,,,,
PARTICIPANT 485,PARTICIPANT 485,Pria,16/02/1976,85000000485,Music - Drum,Yogyakarta,Yes,Yes,Yes,No,No,Yes,,,,
Participant 493,Participant 493,Pria,10/01/2000,85000000493,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
participant 498,participant 498,Pria,23/11/1996,85000000498,Music - Drum,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 500,Participant 500,Wanita,31/05/1995,85000000500,Music - Drum,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2514,Participant 2514,Pria,26/02/1985,85000002514,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
participant 2515,participant 2515,Pria,20/03/1986,85000002515,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2523,Participant 2523,Pria,20/04/2000,85000002523,Music - Drum,Yogyakarta,No,No,Yes,No,Yes,No,,,,
Participant 2524,Participant 2524,Wanita,15/04/1990,85000002524,Music - Drum,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,,
Participant 2528,Participant 2528,Pria,02/02/1992,85000002528,Music - Drum,Yogyakarta,No,Yes,Yes,No,Yes,No,,,,
Participant 2539,Participant 2539,Pria,27/01/1994,85000002539,Music - Drum,Yogyakarta,No,Yes,Yes,No,No,Yes,,,,
Participant 2545,Participant 2545,Pria,15/04/1992,85000002545,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
participant 2546,participant 2546,Pria,09/12/1982,85000002546,Music - Drum,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,,
PARTICIPANT 2557,PARTICIPANT 2557,Pria,08/02/1995,85000002557,Music - Drum,Yogyakarta,No,Yes,Yes,No,Yes,No,,,,
Participant 524,Participant 524,Pria,02/09/1997,85000000524,Music - Drum,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 557,Participant 557,Pria,17/06/2002,85000000557,Music - Drum,Solo,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 560,Participant 560,Pria,17/01/2002,85000000560,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 574,Participant 574,Pria,20/06/2000,85000000574,Music - Drum,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
