FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,ADMISSION STATUS,CATATAN WALI KELAS,FINAL GRADE,GRADUATION STATUS,
PARTICIPANT 1685,PARTICIPANT 1685,Wanita,01/04/2004,85000001685,Arts - Percussion,Jakarta (Open Class),No,,,,
Participant 1695,Participant 1695,Wanita,24/10/2004,85000001695,Arts - Percussion,Jakarta (Open Class),Yes,,B,PASSED,
Participant 1698,Participant 1698,Wanita,17/12/1995,85000001698,Arts - Percussion,Malang,Yes,,A,PASSED,
Participant 1699,Participant 1699,Wanita,16/10/1995,85000001699,Arts - Percussion,Jakarta (Open Class),No,,,,
Participant 1700,Participant 1700,Wanita,25/01/1999,85000001700,Arts - Percussion,Jakarta (Open Class),No,,,,
participant 1703,participant 1703,Wanita,03/01/1995,85000001703,Arts - Percussion,Malang,Yes,,B,PASSED,
Participant 1710,Participant 1710,Wanita,01/05/2002,85000001710,Arts - Percussion,Malang,Yes,,A,PASSED,
Participant 1715,Participant 1715,Wanita,25/03/2006,85000001715,Arts - Percussion,Solo (Open Class),Yes,,A,PASSED,
Participant 1716,Participant 1716,Wanita,14/07/2003,85000001716,Arts - Percussion,Solo (Open Class),No,,,,
participant 1719,participant 1719,Wanita,23/05/2000,85000001719,Arts - Percussion,Malang,No,,,,
Participant 1724,Participant 1724,Wanita,02/05/2001,85000001724,Arts - Percussion,Jakarta (Open Class),Yes,,A,PASSED,
Participant 1741,Participant 1741,Wanita,25/01/2004,85000001741,Arts - Percussion,Malang,Yes,,A,PASSED,
Participant 1742,Participant 1742,Wanita,29/04/1992,85000001742,Arts - Percussion,Malang,No,,,,
Participant 1744,Participant 1744,Wanita,29/12/1998,85000001744,Arts - Percussion,Ngawi,No,,,,
Participant 1749,Participant 1749,Wanita,12/11/2001,85000001749,Arts - Percussion,Jakarta (Open Class),Yes,,A,PASSED,
Participant 1776,Participant 1776,Wanita,29/12/2006,85000001776,Arts - Percussion,Solo (Open Class),Yes,,A,PASSED,
participant 1777,participant 1777,Wanita,20/12/2006,85000001777,Arts - Percussion,Solo (Open Class),Yes,,B,PASSED,
Participant 1781,Participant 1781,Wanita,20/04/2005,85000001781,Arts - Percussion,Klaten,No,,,,
Participant 1792,Participant 1792,Wanita,22/04/1999,85000001792,Arts - Percussion,Yogyakarta (Open Class),No,,,,
Participant 2895,Participant 2895,Wanita,09/08/1990,85000002895,Arts - Percussion,Yogyakarta,Yes,,A,PASSED,
Participant 2899,Participant 2899,Wanita,08/06/1999,85000002899,Arts - Percussion,Yogyakarta,Yes,,A,PASSED,
Participant 2913,Participant 2913,Wanita,03/09/1999,85000002913,Arts - Percussion,Yogyakarta,No,,,,
Participant 531,Participant 531,Wanita,01/11/2004,85000000531,Arts - Percussion,Solo,No,,,,
Participant 2928,Participant 2928,Wanita,18/10/1999,85000002928,Arts - Percussion,Yogyakarta,Yes,,B,PASSED,
Participant 2930,Participant 2930,Wanita,25/02/2001,85000002930,Arts - Percussion,Yogyakarta,Yes,,A,PASSED,
Participant 2931,Participant 2931,Wanita,07/06/2000,85000002931,Arts - Percussion,Yogyakarta,Yes,,B,PASSED,
Participant 2953,Participant 2953,Wanita,30/01/1997,85000002953,Arts - Percussion,Yogyakarta,No,,,,
Participant 2962,Participant 2962,Wanita,13/09/1996,85000002962,Arts - Percussion,Yogyakarta,No,,,,
Participant 2966,Participant 2966,Wanita,13/01/2001,85000002966,Arts - Percussion,Yogyakarta,Yes,,B,PASSED,
Participant 585,Participant 585,Wanita,05/03/1998,85000000585,Arts - Percussion,Yogyakarta,Yes,,C,PASSED,
Participant 1815,Participant 1815,Wanita,27/12/1988,85000001815,Arts - Percussion,Yogyakarta (Open Class),No,,,,
Participant 1816,Participant 1816,Wanita,05/06/2006,85000001816,Arts - Percussion,Yogyakarta (Open Class),No,,,,
Participant 1818,Participant 1818,Wanita,10/05/2003,85000001818,Arts - Percussion,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1829,Participant 1829,Wanita,16/07/2006,85000001829,Arts - Percussion,Yogyakarta (Open Class),Yes,,C,PASSED,
PARTICIPANT 678,PARTICIPANT 678,Wanita,09/07/2003,85000000678,Arts - Percussion,Madiun,Yes,,B,PASSED,
Participant 747,Participant 747,Wanita,01/05/2004,85000000747,Arts - Percussion,Solo,Yes,,C,PASSED,
Participant 759,Participant 759,Wanita,05/07/2004,85000000759,Arts - Percussion,Solo,Yes,,C,PASSED,
Participant 853,Participant 853,Wanita,23/08/1995,85000000853,Arts - Percussion,Tangerang,Yes,,C,PASSED,
Participant 252,Participant 252,Pria,15/07/1989,85000000252,Audio - Engineer,Tangerang,Yes,,B,PASSED,
Participant 266,Participant 266,Pria,27/08/1984,85000000266,Audio - Engineer,Samarinda,No,,,,
Participant 1482,Participant 1482,Pria,28/09/2000,85000001482,Audio - Engineer,Solo (Open Class),Yes,,C,PASSED,
Participant 1540,Participant 1540,Pria,16/04/1993,85000001540,Audio - Engineer,Jakarta (Open Class),Yes,,C,PASSED,
Participant 1605,Participant 1605,Pria,05/10/1980,85000001605,Audio - Engineer,Klaten,Yes,,C,PASSED,
Participant 1608,Participant 1608,Pria,20/04/1985,85000001608,Audio - Engineer,Klaten,Yes,,B,PASSED,
Participant 1617,Participant 1617,Pria,20/10/1971,85000001617,Audio - Engineer,Solo (Open Class),Yes,,B,PASSED,
Participant 1633,Participant 1633,Pria,22/09/1993,85000001633,Audio - Engineer,Klaten,No,,,,
Participant 1640,Participant 1640,Pria,20/10/1971,85000001640,Audio - Engineer,Solo (Open Class),Yes,,A,PASSED,
Participant 2935,Participant 2935,Pria,13/05/2003,85000002935,Audio - Engineer,Yogyakarta,Yes,,A,PASSED,
Participant 2937,Participant 2937,Pria,23/09/2003,85000002937,Audio - Engineer,Yogyakarta,No,,,,
Participant 2940,Participant 2940,Pria,06/02/2004,85000002940,Audio - Engineer,Yogyakarta,Yes,,B,PASSED,
Participant 2952,Participant 2952,Pria,26/06/1999,85000002952,Audio - Engineer,Yogyakarta,No,,,,
Participant 1206,Participant 1206,Pria,10/04/1988,85000001206,Music - Bass,Surabaya,Yes,,A,PASSED,
Participant 1422,Participant 1422,Pria,08/07/1990,85000001422,Music - Bass,Magelang,Yes,,B,PASSED,
Participant 2582,Participant 2582,Pria,22/10/1998,85000002582,Music - Bass,Yogyakarta,Yes,,B,PASSED,
Participant 2819,Participant 2819,Pria,22/05/1995,85000002819,Music - Bass,Yogyakarta,Yes,,C,PASSED,
Participant 1407,Participant 1407,Pria,07/02/1995,85000001407,Music - Bass,Jakarta (Open Class),No,,,,
Participant 2861,Participant 2861,Pria,12/11/1982,85000002861,Music - Bass,Yogyakarta,Yes,,C,PASSED,
Participant 1473,Participant 1473,Pria,12/05/2002,85000001473,Music - Bass,Nias,Yes,,C,PASSED,
Participant 2886,Participant 2886,Pria,04/08/1997,85000002886,Music - Bass,Yogyakarta,Yes,,B,PASSED,
Participant 1570,Participant 1570,Pria,12/06/1987,85000001570,Music - Bass,Magelang,Yes,,C,PASSED,
Participant 1626,Participant 1626,Pria,15/10/2000,85000001626,Music - Bass,Klaten,Yes,,C,PASSED,
Participant 1628,Participant 1628,Pria,20/02/1995,85000001628,Music - Bass,Jakarta (Open Class),Yes,,C,PASSED,
Participant 1659,Participant 1659,Pria,02/06/1988,85000001659,Music - Bass,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1680,Participant 1680,Pria,25/08/1994,85000001680,Music - Bass,Jakarta (Open Class),Yes,,C,PASSED,
Participant 1690,Participant 1690,Pria,15/08/1990,85000001690,Music - Bass,Solo (Open Class),No,,,,
Participant 1696,Participant 1696,Pria,18/01/1993,85000001696,Music - Bass,Malang,Yes,,C,PASSED,
Participant 1718,Participant 1718,Pria,20/07/1977,85000001718,Music - Bass,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1734,Participant 1734,Pria,14/02/2003,85000001734,Music - Bass,Malang,Yes,,B,PASSED,
Participant 1810,Participant 1810,Pria,03/11/2006,85000001810,Music - Bass,Malang,Yes,,B,PASSED,
Participant 1676,Participant 1676,Pria,21/06/1995,85000001676,Music - Drum,Jakarta (Open Class),Yes,,A,PASSED,
Participant 2580,Participant 2580,Wanita,26/05/1995,85000002580,Music - Drum,Yogyakarta,No,,,,
Participant 2822,Participant 2822,Pria,26/12/1994,85000002822,Music - Drum,Yogyakarta,Yes,,A,PASSED,
Participant 2838,Participant 2838,Pria,03/03/1995,85000002838,Music - Drum,Yogyakarta,Yes,,B,PASSED,
Participant 2843,Participant 2843,Pria,04/02/1999,85000002843,Music - Drum,Yogyakarta,No,,,,
Participant 2738,Participant 2738,Pria,03/09/1999,85000002738,Music - Drum,Yogyakarta,Yes,,A,PASSED,
participant 1417,participant 1417,Pria,26/02/1994,85000001417,Music - Drum,Solo (Open Class),No,,,,
Participant 2849,Participant 2849,Pria,02/01/1998,85000002849,Music - Drum,Yogyakarta,Yes,,B,PASSED,
Participant 2855,Participant 2855,Pria,17/11/1998,85000002855,Music - Drum,Yogyakarta,Yes,,B,PASSED,
Participant 2856,Participant 2856,Pria,03/11/1996,85000002856,Music - Drum,Yogyakarta,Yes,,C,PASSED,
Participant 1435,Participant 1435,Pria,30/01/2004,85000001435,Music - Drum,Nias,Yes,,C,PASSED,
Participant 1449,Participant 1449,Pria,02/05/1976,85000001449,Music - Drum,Magelang,No,,,,
Participant 2863,Participant 2863,Pria,10/02/1998,85000002863,Music - Drum,Yogyakarta,Yes,,C,PASSED,
Participant 2864,Participant 2864,Pria,23/03/1994,85000002864,Music - Drum,Yogyakarta,Yes,,B,PASSED,
Participant 1466,Participant 1466,Pria,07/05/1990,85000001466,Music - Drum,Yogyakarta (Open Class),Yes,,C,PASSED,
PARTICIPANT 2869,PARTICIPANT 2869,Pria,21/09/1999,85000002869,Music - Drum,Yogyakarta,Yes,,C,PASSED,
Participant 1475,Participant 1475,Pria,11/07/2001,85000001475,Music - Drum,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1481,Participant 1481,Pria,02/05/2006,85000001481,Music - Drum,Nias,Yes,,B,PASSED,
participant 2871,participant 2871,Pria,23/10/1999,85000002871,Music - Drum,Yogyakarta,Yes,,C,PASSED,
Participant 1484,Participant 1484,Pria,25/07/2006,85000001484,Music - Drum,Solo (Open Class),Yes,,C,PASSED,
Participant 1491,Participant 1491,Pria,03/05/2006,85000001491,Music - Drum,Nias,No,,,,
Participant 1520,Participant 1520,Pria,25/09/2001,85000001520,Music - Drum,Solo (Open Class),Yes,,C,PASSED,
Participant 1524,Participant 1524,Pria,23/01/2000,85000001524,Music - Drum,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 2878,Participant 2878,Pria,21/03/1996,85000002878,Music - Drum,Yogyakarta,Yes,,B,PASSED,
Participant 2883,Participant 2883,Pria,02/09/1999,85000002883,Music - Drum,Yogyakarta,Yes,,A,PASSED,
Participant 2884,Participant 2884,Pria,22/02/1998,85000002884,Music - Drum,Yogyakarta,Yes,,A,PASSED,
PARTICIPANT 2885,PARTICIPANT 2885,Pria,12/06/1991,85000002885,Music - Drum,Yogyakarta,No,,,,
Participant 2887,Participant 2887,Pria,09/07/1998,85000002887,Music - Drum,Yogyakarta,Yes,,B,PASSED,
Participant 1530,Participant 1530,Pria,07/01/2004,85000001530,Music - Drum,Nias,Yes,,A,PASSED,
Participant 1539,Participant 1539,Pria,06/12/1998,85000001539,Music - Drum,Nias,No,,,,
Participant 1543,Participant 1543,Pria,11/01/2004,85000001543,Music - Drum,Nias,Yes,,B,PASSED,
Participant 1561,Participant 1561,Pria,18/08/1995,85000001561,Music - Drum,Nias,No,,,,
Participant 1594,Participant 1594,Pria,15/06/2002,85000001594,Music - Drum,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1607,Participant 1607,Pria,03/12/2001,85000001607,Music - Drum,Solo (Open Class),Yes,,C,PASSED,
Participant 1615,Participant 1615,Pria,21/02/1982,85000001615,Music - Drum,Klaten,Yes,,C,PASSED,
Participant 1642,Participant 1642,Pria,03/05/2006,85000001642,Music - Drum,Solo (Open Class),Yes,,C,PASSED,
Participant 1729,Participant 1729,Pria,06/04/1996,85000001729,Music - Drum,Yogyakarta (Open Class),No,,,,
Participant 1756,Participant 1756,Wanita,18/05/1999,85000001756,Music - Drum,Ngawi,Yes,,B,PASSED,
Participant 1787,Participant 1787,Pria,08/04/1971,85000001787,Music - Drum,Solo (Open Class),Yes,,C,PASSED,
Participant 2892,Participant 2892,Pria,07/02/1995,85000002892,Music - Drum,Yogyakarta,Yes,,C,PASSED,
Participant 2896,Participant 2896,Pria,20/11/1999,85000002896,Music - Drum,Yogyakarta,Yes,,C,PASSED,
Participant 2897,Participant 2897,Pria,17/01/1998,85000002897,Music - Drum,Yogyakarta,Yes,,B,PASSED,
Participant 2898,Participant 2898,Pria,29/08/1991,85000002898,Music - Drum,Yogyakarta,Yes,,C,PASSED,
PARTICIPANT 2915,PARTICIPANT 2915,Pria,19/09/2000,85000002915,Music - Drum,Yogyakarta,Yes,,C,PASSED,
Participant 2916,Participant 2916,Wanita,02/08/1986,85000002916,Music - Drum,Yogyakarta,Yes,,C,PASSED,
Participant 2922,Participant 2922,Pria,13/08/1999,85000002922,Music - Drum,Yogyakarta,No,,,,
Participant 2923,Participant 2923,Pria,23/03/2000,85000002923,Music - Drum,Yogyakarta,Yes,,B,PASSED,
Participant 2924,Participant 2924,Pria,18/04/2000,85000002924,Music - Drum,Yogyakarta,Yes,,B,PASSED,
Participant 2925,Participant 2925,Pria,25/03/1998,85000002925,Music - Drum,Yogyakarta,Yes,,A,PASSED,
Participant 1808,Participant 1808,Pria,03/09/1999,85000001808,Music - Drum,Yogyakarta (Open Class),Yes,,A,PASSED,
Participant 2942,Participant 2942,Pria,22/07/2000,85000002942,Music - Drum,Yogyakarta,Yes,,B,PASSED,
Participant 2950,Participant 2950,Pria,19/09/1995,85000002950,Music - Drum,Yogyakarta,No,,,,
PARTICIPANT 1824,PARTICIPANT 1824,Pria,26/09/2004,85000001824,Music - Drum,Yogyakarta (Open Class),Yes,,A,PASSED,
Participant 1100,Participant 1100,Pria,27/02/2001,85000001100,Music - Guitar,Tangerang,Yes,,B,PASSED,
Participant 1304,Participant 1304,Pria,04/08/1996,85000001304,Music - Guitar,Semarang,No,,,,
Participant 1501,Participant 1501,Pria,03/04/1986,85000001501,Music - Guitar,Magelang,Yes,,B,PASSED,
Participant 2569,Participant 2569,Wanita,14/03/1984,85000002569,Music - Guitar,Yogyakarta,No,,,,
Participant 2834,Participant 2834,Pria,26/07/2001,85000002834,Music - Guitar,Yogyakarta,Yes,,C,PASSED,
Participant 1379,Participant 1379,Pria,22/04/1978,85000001379,Music - Guitar,Semarang,Yes,,C,PASSED,
Participant 1399,Participant 1399,Pria,05/06/1989,85000001399,Music - Guitar,Solo (Open Class),Yes,,C,PASSED,
Participant 2853,Participant 2853,Wanita,07/05/1997,85000002853,Music - Guitar,Yogyakarta,Yes,,B,PASSED,
Participant 1420,Participant 1420,Pria,22/10/1979,85000001420,Music - Guitar,Nias,No,,,,
Participant 1424,Participant 1424,Pria,15/10/2002,85000001424,Music - Guitar,Yogyakarta (Open Class),Yes,,C,PASSED,
Participant 1439,Participant 1439,Pria,07/06/2003,85000001439,Music - Guitar,Nias,Yes,,C,PASSED,
Participant 2859,Participant 2859,Pria,06/04/1998,85000002859,Music - Guitar,Yogyakarta,Yes,,C,PASSED,
Participant 2825,Participant 2825,Pria,02/08/1984,85000002825,Music - Guitar,Yogyakarta,Yes,,B,PASSED,
Participant 2867,Participant 2867,Pria,31/03/1999,85000002867,Music - Guitar,Yogyakarta,Yes,,C,PASSED,
PARTICIPANT 2868,PARTICIPANT 2868,Pria,20/04/2000,85000002868,Music - Guitar,Yogyakarta,Yes,,C,PASSED,
Participant 1494,Participant 1494,Pria,04/11/1991,85000001494,Music - Guitar,Solo (Open Class),Yes,,C,PASSED,
PARTICIPANT 1506,PARTICIPANT 1506,Pria,23/08/1982,85000001506,Music - Guitar,Yogyakarta (Open Class),Yes,,B,PASSED,
Participant 1555,Participant 1555,Wanita,04/05/1966,85000001555,Music - Guitar,Solo (Open Class),No,,,,
Participant 1572,Participant 1572,Pria,16/05/1981,85000001572,Music - Guitar,Solo (Open Class),Yes,,B,PASSED,
Participant 1602,Participant 1602,Wanita,28/10/2003,85000001602,Music - Guitar,Klaten,Yes,,A,PASSED,
Participant 1613,Participant 1613,Pria,31/05/2005,85000001613,Music - Guitar,Klaten,Yes,,A,PASSED,
Participant 1635,Participant 1635,Wanita,02/01/1975,85000001635,Music - Guitar,Solo  (Open Class),Yes,,B,PASSED,
