FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,ADMISSION STATUS,KETERANGAN PENGUJI 1,KETERANGAN PENGUJI 2,KETERANGAN PENGUJI 3,FINAL GRACE,GRADUATION STATUS,,
Participant 233,Participant 233,Wanita,05/09/1991,85000000233,Arts - Percussion,Tangerang,Yes,Good,,,B,PASSED,,
Participant 235,Participant 235,Wanita,05/04/2000,85000000235,Arts - Percussion,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 236,Participant 236,Wanita,22/05/1997,85000000236,Arts - Percussion,Yogyakarta,Yes,Good,,,A,PASSED,,
PARTICIPANT 239,PARTICIPANT 239,Wanita,10/12/2000,85000000239,Arts - Percussion,Nias,Yes,Good,,,C,PASSED,,
Participant 240,Participant 240,Wanita,02/07/1998,85000000240,Arts - Percussion,Jakarta,Yes,Good,,,C,PASSED,,
PARTICIPANT 245,PARTICIPANT 245,Wanita,09/08/2003,85000000245,Arts - Percussion,Nias,No,Standard,,,,,,
Participant 250,Participant 250,Wanita,17/06/2001,85000000250,Arts - Percussion,Samarinda,Yes,Good,,,C,PASSED,,
PARTICIPANT 313,PARTICIPANT 313,Wanita,01/03/2001,85000000313,Arts - Percussion,Solo,Yes,Good,,,C,PASSED,,
PARTICIPANT 352,PARTICIPANT 352,Wanita,09/07/1997,85000000352,Arts - Percussion,Boyolali,No,Good,,,,,,
Participant 360,Participant 360,Wanita,08/04/1996,85000000360,Arts - Percussion,Jakarta,Yes,Good,,,C,PASSED,,
Participant 373,Participant 373,Wanita,15/05/1994,85000000373,Arts - Percussion,Solo,Yes,Good,,,C,PASSED,,
participant 376,participant 376,Wanita,09/10/1999,85000000376,Arts - Percussion,Sragen,Yes,Good,,,B,PASSED,,
Participant 377,Participant 377,Wanita,15/02/1995,85000000377,Arts - Percussion,Sragen,Yes,Standard,,,C,PASSED,,
Participant 389,Participant 389,Wanita,27/06/1997,85000000389,Arts - Percussion,Boyolali,Yes,Good,,,C,PASSED,,
Participant 399,Participant 399,Wanita,18/03/1999,85000000399,Arts - Percussion,Bali,Yes,Bad,,,C,PASSED,,
Participant 400,Participant 400,Wanita,02/07/1992,85000000400,Arts - Percussion,Jakarta,Yes,Good,,,C,PASSED,,
Participant 419,Participant 419,Wanita,24/04/2004,85000000419,Arts - Percussion,Solo,Yes,Good,,,C,PASSED,,
Participant 437,Participant 437,Wanita,28/09/1977,85000000437,Arts - Percussion,Bandung,Yes,Good,,,B,PASSED,,
Participant 472,Participant 472,Wanita,25/03/2002,85000000472,Arts - Percussion,Solo,Yes,Good,,,B,PASSED,,
Participant 486,Participant 486,Wanita,17/11/2000,85000000486,Arts - Percussion,Magelang,Yes,Standard,,,B,PASSED,,
Participant 2516,Participant 2516,Wanita,21/04/2001,85000002516,Arts - Percussion,Yogyakarta,No,Good,,,,,,
Participant 2530,Participant 2530,Wanita,17/11/1997,85000002530,Arts - Percussion,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 2531,Participant 2531,Wanita,23/08/1997,85000002531,Arts - Percussion,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 2537,Participant 2537,Wanita,25/07/1996,85000002537,Arts - Percussion,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 516,Participant 516,Wanita,18/02/2000,85000000516,Arts - Percussion,Solo,No,Standard,,,,,,
Participant 540,Participant 540,Wanita,07/04/2003,85000000540,Arts - Percussion,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 550,Participant 550,Wanita,21/06/1989,85000000550,Arts - Percussion,Madiun,Yes,Bad,,,C,PASSED,,
Participant 569,Participant 569,Wanita,16/02/2004,85000000569,Arts - Percussion,Solo,Yes,Good,,,C,PASSED,,
Participant 590,Participant 590,Wanita,29/08/1995,85000000590,Arts - Percussion,Solo,Yes,Good,,,C,PASSED,,
Participant 608,Participant 608,Wanita,19/07/1996,85000000608,Arts - Percussion,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 609,Participant 609,Wanita,20/04/1993,85000000609,Arts - Percussion,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 617,Participant 617,Wanita,15/01/2003,85000000617,Arts - Percussion,Solo,No,Standard,,,,,,
Participant 622,Participant 622,Wanita,08/12/1995,85000000622,Arts - Percussion,Bali,Yes,Good,,,B,PASSED,,
Participant 623,Participant 623,Wanita,06/07/1999,85000000623,Arts - Percussion,Jakarta,No,Good,,,,,,
Participant 626,Participant 626,Wanita,02/10/1996,85000000626,Arts - Percussion,Jakarta,No,Good,,,,,,
Participant 632,Participant 632,Wanita,08/04/1987,85000000632,Arts - Percussion,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 663,Participant 663,Wanita,06/07/2002,85000000663,Arts - Percussion,Jakarta,Yes,Good,,,B,PASSED,,
Participant 681,Participant 681,Wanita,27/04/1999,85000000681,Arts - Percussion,Solo ,Yes,Standard,,,B,PASSED,,
Participant 704,Participant 704,Wanita,19/01/2000,85000000704,Arts - Percussion,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 712,Participant 712,Wanita,13/05/2003,85000000712,Arts - Percussion,Yogyakarta,No,Good,,,,,,
Participant 714,Participant 714,Wanita,12/10/2003,85000000714,Arts - Percussion,Yogyakarta,Yes,Good,,,A,PASSED,,
Participant 752,Participant 752,Wanita,07/09/2003,85000000752,Arts - Percussion,Solo,No,Good,,,,,,
Participant 753,Participant 753,Wanita,03/05/1997,85000000753,Arts - Percussion,Solo,No,Good,,,,,,
PARTICIPANT 764,PARTICIPANT 764,Wanita,15/07/2002,85000000764,Arts - Percussion,Jakarta,Yes,Good,,,B,PASSED,,
Participant 765,Participant 765,Wanita,12/11/1998,85000000765,Arts - Percussion,Solo,Yes,Standard,,,B,PASSED,,
Participant 768,Participant 768,Wanita,17/04/2004,85000000768,Arts - Percussion,Wonogiri,No,Good,,,,,,
Participant 780,Participant 780,Wanita,02/07/2002,85000000780,Arts - Percussion,Semarang,Yes,Bad,,,C,PASSED,,
Participant 783,Participant 783,Wanita,11/03/2002,85000000783,Arts - Percussion,Semarang,Yes,Good,,,B,PASSED,,
Participant 814,Participant 814,Wanita,22/07/2000,85000000814,Arts - Percussion,Bali,Yes,Good,,,C,PASSED,,
Participant 815,Participant 815,Wanita,09/01/2002,85000000815,Arts - Percussion,Bali,Yes,Good,,,C,PASSED,,
Participant 819,Participant 819,Wanita,27/04/2000,85000000819,Arts - Percussion,Solo,Yes,Good,,,C,PASSED,,
Participant 838,Participant 838,Wanita,31/07/1999,85000000838,Arts - Percussion,Yogyakarta,No,Standard,,,,,,
Participant 851,Participant 851,Wanita,12/09/1998,85000000851,Arts - Percussion,Jakarta,Yes,Good,,,B,PASSED,,
Participant 4,Participant 4,Wanita,08/09/1994,85000000004,Arts - Percussion,Solo,Yes,Good,,,B,PASSED,,
Participant 50,Participant 50,Pria,09/06/1982,85000000050,Audio - Engineer,Ngawi,Yes,Good,,,B,PASSED,,
Participant 51,Participant 51,Pria,16/11/1997,85000000051,Audio - Engineer,Ngawi,Yes,Good,,,B,PASSED,,
Participant 113,Participant 113,Pria,08/06/1979,85000000113,Audio - Engineer,Ngawi,Yes,Standard,,,B,PASSED,,
Participant 122,Participant 122,Pria,19/02/1975,85000000122,Audio - Engineer,Madiun,Yes,Good,,,B,PASSED,,
Participant 202,Participant 202,Pria,23/05/1975,85000000202,Audio - Engineer,Semarang,Yes,Bad,,,A,PASSED,,
Participant 216,Participant 216,Pria,03/10/1982,85000000216,Audio - Engineer,Solo,Yes,Good,,,C,PASSED,,
Participant 243,Participant 243,Pria,10/09/1977,85000000243,Audio - Engineer,Jakarta,Yes,Good,,,C,PASSED,,
Participant 275,Participant 275,Pria,15/04/1988,85000000275,Audio - Engineer,Bandung,Yes,Good,,,C,PASSED,,
Participant 298,Participant 298,Pria,04/03/2004,85000000298,Audio - Engineer,Solo,No,Good,,,,,,
Participant 299,Participant 299,Pria,26/06/1970,85000000299,Audio - Engineer,Samarinda,Yes,Standard,,,C,PASSED,,
Participant 331,Participant 331,Pria,16/11/1998,85000000331,Audio - Engineer,Samarinda,Yes,Good,,,C,PASSED,,
Participant 420,Participant 420,Pria,13/04/1984,85000000420,Audio - Engineer,Solo,Yes,Good,,,B,PASSED,,
Participant 2513,Participant 2513,Pria,21/01/1982,85000002513,Audio - Engineer,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 2529,Participant 2529,Pria,06/02/1989,85000002529,Audio - Engineer,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 506,Participant 506,Pria,19/04/1981,85000000506,Audio - Engineer,Surabaya,Yes,Good,,,C,PASSED,,
Participant 575,Participant 575,Pria,18/11/1976,85000000575,Audio - Engineer,Bali,Yes,Standard,,,C,PASSED,,
Participant 583,Participant 583,Pria,22/01/1992,85000000583,Audio - Engineer,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 607,Participant 607,Pria,31/03/2000,85000000607,Audio - Engineer,Bali,Yes,Good,,,B,PASSED,,
Participant 794,Participant 794,Pria,31/07/2002,85000000794,Audio - Engineer,Jakarta,Yes,Good,,,C,PASSED,,
Participant 828,Participant 828,Pria,17/06/1995,85000000828,Audio - Engineer,Bali,Yes,Good,,,B,PASSED,,
Participant 830,Participant 830,Wanita,22/01/1992,85000000830,Audio - Engineer,Solo,Yes,Good,,,B,PASSED,,
PARTICIPANT 831,PARTICIPANT 831,Pria,23/04/1985,85000000831,Audio - Engineer,Solo,Yes,Good,,,A,PASSED,,
Participant 835,Participant 835,Pria,30/07/1999,85000000835,Audio - Engineer,Bali,Yes,Standard,,,B,PASSED,,
Participant 843,Participant 843,Pria,05/06/1966,85000000843,Audio - Engineer,Tangerang,No,Good,,,,,,
Participant 194,Participant 194,Pria,16/03/1980,85000000194,Audio - Engineer,Nias,No,Bad,,,,,,
Participant 234,Participant 234,Pria,19/11/1998,85000000234,Audio - Engineer,Semarang,No,Good,,,,,,
Participant 2533,Participant 2533,Pria,17/10/1989,85000002533,Audio - Engineer,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 21,Participant 21,Pria,15/05/1996,85000000021,Music - Bass,Yogyakarta,No,Good,,,,,,
Participant 115,Participant 115,Pria,10/10/1994,85000000115,Music - Bass,Ngawi,Yes,Good,,,A,PASSED,,
Participant 217,Participant 217,Pria,05/03/1980,85000000217,Music - Bass,Solo,Yes,Standard,,,B,PASSED,,
Participant 246,Participant 246,Pria,18/05/1994,85000000246,Music - Bass,Solo,Yes,Good,,,C,PASSED,,
Participant 248,Participant 248,Pria,18/03/1976,85000000248,Music - Bass,Tangerang,No,Bad,,,,,,
Participant 304,Participant 304,Pria,14/10/2000,85000000304,Music - Bass,Samarinda,No,Good,,,,,,
Participant 306,Participant 306,Wanita,27/07/2004,85000000306,Music - Bass,Samarinda,Yes,Good,,,C,PASSED,,
Participant 315,Participant 315,Pria,25/05/2003,85000000315,Music - Bass,Samarinda,Yes,Good,,,C,PASSED,,
PARTICIPANT 332,PARTICIPANT 332,Pria,21/11/2004,85000000332,Music - Bass,Samarinda,No,Good,,,,,,
Participant 362,Participant 362,Pria,25/10/1983,85000000362,Music - Bass,Bandung,Yes,Bad,,,C,PASSED,,
Participant 374,Participant 374,Pria,19/02/1989,85000000374,Music - Bass,Boyolali,Yes,Good,,,C,PASSED,,
Participant 388,Participant 388,Pria,15/05/2004,85000000388,Music - Bass,Solo,Yes,Good,,,C,PASSED,,
Participant 395,Participant 395,Pria,13/07/1998,85000000395,Music - Bass,Boyolali,Yes,Good,,,B,PASSED,,
Participant 403,Participant 403,Pria,13/06/2001,85000000403,Music - Bass,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 418,Participant 418,Pria,09/09/2001,85000000418,Music - Bass,Bali,Yes,Standard,,,C,PASSED,,
Participant 2517,Participant 2517,Pria,31/10/1988,85000002517,Music - Bass,Yogyakarta,Yes,Good,,,C,PASSED,,
PARTICIPANT 2526,PARTICIPANT 2526,Pria,07/07/1986,85000002526,Music - Bass,Yogyakarta,Yes,Good,,,C,PASSED,,
participant 2542,participant 2542,Pria,05/04/1983,85000002542,Music - Bass,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 2556,Participant 2556,Pria,07/02/1997,85000002556,Music - Bass,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 536,Participant 536,Pria,09/09/1996,85000000536,Music - Bass,Bali,Yes,Good,,,C,PASSED,,
Participant 568,Participant 568,Pria,04/12/1982,85000000568,Music - Bass,Solo,Yes,Standard,,,B,PASSED,,
Participant 644,Participant 644,Pria,04/10/1983,85000000644,Music - Bass,Bali,Yes,Good,,,C,PASSED,,
Participant 658,Participant 658,Pria,07/02/1995,85000000658,Music - Bass,Bali,Yes,Good,,,B,PASSED,,
Participant 717,Participant 717,Pria,29/06/1989,85000000717,Music - Bass,Solo,No,Good,,,,,,
Participant 785,Participant 785,Pria,23/11/1996,85000000785,Music - Bass,Jakarta,Yes,Good,,,B,PASSED,,
Participant 822,Participant 822,Pria,07/06/1989,85000000822,Music - Bass,Bali,Yes,Good,,,B,PASSED,,
Participant 22,Participant 22,Pria,02/02/2002,85000000022,Music - Bass,Yogyakarta,No,Good,,,,,,
participant 2506,participant 2506,Pria,04/11/1991,85000002506,Music - Bass,Yogyakarta,Yes,Standard,,,B,PASSED,,
Participant 23,Participant 23,Pria,17/06/1993,85000000023,Music - Drum,Tangerang,Yes,Good,,,A,PASSED,,
Participant 25,Participant 25,Pria,24/09/1998,85000000025,Music - Drum,Pekalongan,Yes,Bad,,,C,PASSED,,
Participant 26,Participant 26,Pria,27/08/2002,85000000026,Music - Drum,Pekalongan,No,Good,,,,,,
Participant 92,Participant 92,Pria,13/09/1993,85000000092,Music - Drum,Yogyakarta,Yes,Good,,,B,PASSED,,
PARTICIPANT 116,PARTICIPANT 116,Pria,24/09/2002,85000000116,Music - Drum,Nias,Yes,Good,,,C,PASSED,,
Participant 188,Participant 188,Pria,04/06/1994,85000000188,Music - Drum,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 231,Participant 231,Pria,23/08/1991,85000000231,Music - Drum,Tangerang,No,Good,,,,,,
Participant 278,Participant 278,Pria,13/12/2001,85000000278,Music - Drum,Samarinda,Yes,Good,,,C,PASSED,,
Participant 296,Participant 296,Pria,05/01/1998,85000000296,Music - Drum,Solo,Yes,Standard,,,C,PASSED,,
Participant 316,Participant 316,Pria,25/05/2003,85000000316,Music - Drum,Samarinda,Yes,Good,,,C,PASSED,,
Participant 348,Participant 348,Pria,05/03/1997,85000000348,Music - Drum,Semarang,Yes,Bad,,,B,PASSED,,
Participant 363,Participant 363,Pria,18/10/1998,85000000363,Music - Drum,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 393,Participant 393,Pria,15/05/1992,85000000393,Music - Drum,Solo,Yes,Good,,,C,PASSED,,
Participant 411,Participant 411,Pria,23/07/2003,85000000411,Music - Drum,Wonogiri,No,Good,,,,,,
Participant 426,Participant 426,Pria,26/10/1998,85000000426,Music - Drum,Solo,Yes,Good,,,C,PASSED,,
Participant 441,Participant 441,Pria,15/05/2003,85000000441,Music - Drum,Bali,Yes,Good,,,B,PASSED,,
Participant 450,Participant 450,Pria,26/04/1993,85000000450,Music - Drum,Solo,No,Good,,,,,,
PARTICIPANT 485,PARTICIPANT 485,Pria,16/02/1976,85000000485,Music - Drum,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 493,Participant 493,Pria,10/01/2000,85000000493,Music - Drum,Yogyakarta,Yes,Standard,,,B,PASSED,,
participant 498,participant 498,Pria,23/11/1996,85000000498,Music - Drum,Solo,Yes,Good,,,B,PASSED,,
Participant 500,Participant 500,Wanita,31/05/1995,85000000500,Music - Drum,Solo,Yes,Good,,,B,PASSED,,
Participant 2514,Participant 2514,Pria,26/02/1985,85000002514,Music - Drum,Yogyakarta,Yes,Good,,,C,PASSED,,
participant 2515,participant 2515,Pria,20/03/1986,85000002515,Music - Drum,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 2523,Participant 2523,Pria,20/04/2000,85000002523,Music - Drum,Yogyakarta,No,Good,,,,,,
Participant 2524,Participant 2524,Wanita,15/04/1990,85000002524,Music - Drum,Yogyakarta,Yes,Standard,,,C,PASSED,,
Participant 2528,Participant 2528,Pria,02/02/1992,85000002528,Music - Drum,Yogyakarta,No,Good,,,,,,
Participant 2539,Participant 2539,Pria,27/01/1994,85000002539,Music - Drum,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 2545,Participant 2545,Pria,15/04/1992,85000002545,Music - Drum,Yogyakarta,Yes,Good,,,C,PASSED,,
participant 2546,participant 2546,Pria,09/12/1982,85000002546,Music - Drum,Yogyakarta,Yes,Good,,,C,PASSED,,
PARTICIPANT 2557,PARTICIPANT 2557,Pria,08/02/1995,85000002557,Music - Drum,Yogyakarta,No,Good,,,,,,
Participant 524,Participant 524,Pria,02/09/1997,85000000524,Music - Drum,Bali,Yes,Good,,,B,PASSED,,
Participant 557,Participant 557,Pria,17/06/2002,85000000557,Music - Drum,Solo,Yes,Standard,,,C,PASSED,,
Participant 560,Participant 560,Pria,17/01/2002,85000000560,Music - Drum,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 574,Participant 574,Pria,20/06/2000,85000000574,Music - Drum,Solo,Yes,Bad,,,B,PASSED,,
Participant 577,Participant 577,Wanita,19/11/1994,85000000577,Music - Drum,Bali,Yes,Good,,,C,PASSED,,
Participant 582,Participant 582,Pria,04/03/1988,85000000582,Music - Drum,Solo,Yes,Good,,,B,PASSED,,
Participant 601,Participant 601,Pria,14/02/2000,85000000601,Music - Drum,Bali,No,Good,,,,,,
Participant 635,Participant 635,Wanita,22/11/2001,85000000635,Music - Drum,Yogyakarta,Yes,Good,,,B,PASSED,,
Participant 642,Participant 642,Pria,10/02/1989,85000000642,Music - Drum,Yogyakarta,Yes,Standard,,,A,PASSED,,
Participant 643,Participant 643,Pria,08/06/2004,85000000643,Music - Drum,Yogyakarta,Yes,Good,,,C,PASSED,,
Participant 652,Participant 652,Pria,30/06/1981,85000000652,Music - Drum,Jakarta,Yes,Good,,,C,PASSED,,
Participant 683,Participant 683,Pria,11/03/1995,85000000683,Music - Drum,Yogyakarta,No,Good,,,,,,
Participant 724,Participant 724,Pria,16/01/2003,85000000724,Music - Drum,Bali,Yes,Good,,,C,PASSED,,
Participant 730,Participant 730,Pria,20/10/1995,85000000730,Music - Drum,Solo ,Yes,Standard,,,C,PASSED,,
Participant 735,Participant 735,Pria,20/06/2000,85000000735,Music - Drum,Solo,Yes,Good,,,C,PASSED,,
Participant 749,Participant 749,Pria,13/10/1996,85000000749,Music - Drum,Solo,Yes,Good,,,B,PASSED,,
Participant 808,Participant 808,Wanita,03/10/2002,85000000808,Music - Drum,Solo,Yes,Standard,,,B,PASSED,,
Participant 811,Participant 811,Pria,23/07/1998,85000000811,Music - Drum,Giribelah,No,Good,,,,,,
Participant 816,Participant 816,Pria,28/03/1987,85000000816,Music - Drum,Bali,Yes,Bad,,,B,PASSED,,
PARTICIPANT 864,PARTICIPANT 864,Pria,23/06/2004,85000000864,Music - Drum,Bali,Yes,Good,,,A,PASSED,,
Participant 24,Participant 24,Pria,07/06/1983,85000000024,Music - Drum,Jakarta,Yes,Good,,,A,PASSED,,
Participant 260,Participant 260,Pria,26/10/1998,85000000260,Music - Drum,Solo,Yes,Good,,,A,PASSED,,
Participant 27,Participant 27,Pria,05/11/2001,85000000027,Music - Drum,Pekalongan,Yes,Good,,,C,PASSED,,
Participant 604,Participant 604,Pria,23/06/1977,85000000604,Music - Drum,Solo,Yes,Good,,,A,PASSED,,
Participant 28,Participant 28,Wanita,22/12/1998,85000000028,Music - Guitar,Pekalongan,No,Good,,,,,,
Participant 29,Participant 29,Pria,03/09/1993,85000000029,Music - Guitar,Solo ,No,Good,,,,,,
Participant 32,Participant 32,Pria,16/04/2001,85000000032,Music - Guitar,Solo,Yes,Standard,,,C,PASSED,,
Participant 33,Participant 33,Wanita,22/02/2002,85000000033,Music - Guitar,Solo,Yes,Good,,,C,PASSED,,
Participant 34,Participant 34,Wanita,31/03/1968,85000000034,Music - Guitar,Semarang,Yes,Good,,,C,PASSED,,
Participant 35,Participant 35,Pria,11/08/1981,85000000035,Music - Guitar,Solo,Yes,Good,,,C,PASSED,,
Participant 37,Participant 37,Pria,12/08/1999,85000000037,Music - Guitar,Solo,Yes,Good,,,A,PASSED,,
Participant 104,Participant 104,Pria,10/05/2000,85000000104,Music - Guitar,Wonogiri,Yes,Good,,,C,PASSED,,
Participant 112,Participant 112,Pria,05/06/1995,85000000112,Music - Guitar,Surabaya,Yes,Good,,,C,PASSED,,
Participant 119,Participant 119,Wanita,18/06/1990,85000000119,Music - Guitar,Nias,No,Standard,,,,,,
Participant 123,Participant 123,Pria,03/01/1993,85000000123,Music - Guitar,Jakarta,No,Good,,,,,,
