FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,CHECKLIST A,CHECKLIST B,CHECKLIST C,CHECKLIST D,CHECKLIST E,YEAR,ADMISSION STATUS,,,
Participant 1423,Participant 1423,Pria,19/04/2003,85000001423,Music - Keyboard,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1425,Participant 1425,Wanita,29/11/1989,85000001425,Arts - Percussion,Solo  (Open Class),Not Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 1434,Participant 1434,Wanita,10/07/1999,85000001434,Arts - Percussion,Nias,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1446,Participant 1446,Wanita,06/09/1995,85000001446,Arts - Percussion,Nias,Completed,Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 1447,Participant 1447,Pria,03/05/2006,85000001447,Music - Drum,Solo (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
Participant 1519,Participant 1519,Pria,27/04/1969,85000001519,Music - Keyboard,Solo (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
Participant 1527,Participant 1527,Wanita,24/01/1987,85000001527,Arts - Percussion,Nias,Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 1532,Participant 1532,Wanita,17/02/1981,85000001532,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1560,Participant 1560,Wanita,25/02/1998,85000001560,Arts - Percussion,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 1564,Participant 1564,Wanita,15/07/1972,85000001564,Visual - Makeup,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1566,Participant 1566,Wanita,16/01/1998,85000001566,Vocal - Singer,Nias,Completed,Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 1567,Participant 1567,Wanita,22/04/1999,85000001567,Arts - Movement,Yogyakarta (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 1587,Participant 1587,Wanita,04/05/2000,85000001587,Visual - Makeup,Surabaya,Completed,Not Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1664,Participant 1664,Wanita,09/12/1978,85000001664,Vocal - Lead,Madiun,Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 171,Participant 171,Pria,29/10/1987,85000000171,Music - Guitar,Madiun,Not Completed,Completed,Not Completed,Not Completed,Not Completed,2019,No,,,
Participant 1717,Participant 1717,Wanita,12/03/1990,85000001717,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1728,Participant 1728,Pria,25/07/1985,85000001728,Vocal - Singer,Jakarta (Open Class),Not Completed,Completed,Completed,Not Completed,Completed,2019,No,,,
PARTICIPANT 1730,PARTICIPANT 1730,Pria,22/12/2002,85000001730,Vocal - Singer,Solo (Open Class),Completed,Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 1731,Participant 1731,Pria,26/02/2002,85000001731,Music - Keyboard,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1747,Participant 1747,Pria,06/02/1997,85000001747,Music - Bass,Tangerang,Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 1751,Participant 1751,Wanita,04/05/2005,85000001751,Arts - Movement,Tangerang,Completed,Not Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 1769,Participant 1769,Wanita,15/02/1987,85000001769,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 178,Participant 178,Wanita,29/05/2001,85000000178,Vocal - Singer,Solo,Completed,Completed,Completed,Not Completed,Not Completed,2019,No,,,
Participant 1783,Participant 1783,Wanita,16/05/2000,85000001783,Vocal - Singer,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1790,Participant 1790,Pria,02/12/2002,85000001790,Music - Keyboard,Solo  (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
Participant 1793,Participant 1793,Wanita,23/03/1986,85000001793,Vocal - Singer,Solo (Open Class),Completed,Not Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1796,Participant 1796,Wanita,10/11/1974,85000001796,Vocal - Lead,Solo (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
PARTICIPANT 1798,PARTICIPANT 1798,Pria,30/07/1991,85000001798,Vocal - Singer,Jakarta (Open Class),Not Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1800,Participant 1800,Wanita,11/10/1998,85000001800,Vocal - Singer,Jakarta (Open Class),No,Not Completed,Completed,Completed,Completed,2019,No,,,
Participant 1804,Participant 1804,Pria,12/09/1990,85000001804,Vocal - Singer,Jakarta (Open Class),No,Completed,Not Completed,Completed,Not Completed,2019,No,,,
Participant 1805,Participant 1805,Wanita,17/07/2000,85000001805,Arts - Percussion,Jakarta (Open Class),Yes,Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 1807,Participant 1807,Wanita,22/06/2005,85000001807,Vocal - Singer,Yogyakarta (Open Class),Yes,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1811,Participant 1811,Pria,11/02/2005,85000001811,Music - Drum,Malang,Not Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
Participant 1814,Participant 1814,Wanita,13/03/1992,85000001814,Vocal - Singer,Yogyakarta (Open Class),Not Completed,Not Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1817,Participant 1817,Wanita,21/12/2004,85000001817,Arts - Percussion,Samarinda,Completed,Not Completed,Completed,No,Completed,2019,No,,,
Participant 1826,Participant 1826,Pria,28/02/2003,85000001826,Music - Guitar,Malang,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 183,Participant 183,Wanita,12/08/1977,85000000183,Vocal - Lead,Yogyakarta,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1830,Participant 1830,Pria,08/07/2001,85000001830,Music - Drum,Yogyakarta (Open Class),Completed,Not Completed,Completed,Not Completed,Completed,2019,No,,,
Participant 1847,Participant 1847,Pria,12/04/2000,85000001847,Music - Drum,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1849,Participant 1849,Wanita,17/09/1982,85000001849,Vocal - Lead,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1933,Participant 1933,Wanita,17/02/1977,85000001933,Vocal - Singer,Madiun,Completed,Completed,Not Completed,Not Completed,Completed,2019,Yes,,,
Participant 1966,Participant 1966,Pria,22/05/2003,85000001966,Music - Drum,Yogyakarta (Open Class),Not Completed,Completed,Completed,Not Completed,Not Completed,2019,No,,,
Participant 1970,Participant 1970,Pria,08/01/1994,85000001970,Music - Drum,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1975,Participant 1975,Pria,05/03/1977,85000001975,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 1992,Participant 1992,Pria,22/04/2002,85000001992,Vocal - Singer,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 20,Participant 20,Pria,30/04/1997,85000000020,Music - Bass,Yogyakarta,Not Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 2164,Participant 2164,Wanita,25/03/1991,85000002164,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
Participant 2222,Participant 2222,Pria,11/02/1983,85000002222,Vocal - Lead,Yogyakarta (Open Class),Not Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 228,Participant 228,Pria,22/10/1991,85000000228,Vocal - Singer,Tangerang,Yes,Not Completed,Completed,Completed,Completed,2019,No,,,
Participant 2300,Participant 2300,Wanita,22/09/1978,85000002300,Arts - Flag,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
participant 2358,participant 2358,Pria,26/07/1987,85000002358,Audio - Engineer,Yogyakarta (Open Class),Not Completed,Not Completed,Completed,Completed,Completed,2019,No,,,
Participant 2394,Participant 2394,Wanita,20/03/1999,85000002394,Arts - Percussion,Yogyakarta (Open Class),Yes,Not Completed,Not Completed,Completed,Not Completed,2019,No,,,
Participant 2544,Participant 2544,Pria,19/05/1996,85000002544,Music - Bass,Yogyakarta,No,Completed,Completed,No,Not Completed,2019,Yes,,,
Participant 2572,Participant 2572,Pria,24/03/1997,85000002572,Music - Keyboard,Yogyakarta,Completed,Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 263,Participant 263,Pria,23/04/2004,85000000263,Music - Guitar,Samarinda,Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 2642,Participant 2642,Wanita,05/05/1998,85000002642,Vocal - Lead,Yogyakarta,Completed,Not Completed,Completed,Completed,Completed,2019,No,,,
Participant 2699,Participant 2699,Wanita,21/09/1971,85000002699,Vocal - Lead,Yogyakarta,Completed,Completed,Completed,Not Completed,Completed,2019,No,,,
Participant 2708,Participant 2708,Wanita,24/04/1998,85000002708,Vocal - Singer,Yogyakarta,Completed,Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 2731,Participant 2731,Wanita,29/06/2000,85000002731,Arts - Percussion,Yogyakarta,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2765,Participant 2765,Pria,02/05/1998,85000002765,Music - Guitar,Yogyakarta,Yes,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 2805,Participant 2805,Pria,17/02/2001,85000002805,Music - Drum,Yogyakarta,Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 2857,Participant 2857,Wanita,10/11/1999,85000002857,Music - Drum,Yogyakarta,Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
Participant 2874,Participant 2874,Pria,27/09/1998,85000002874,Music - Drum,Yogyakarta,Completed,Completed,Completed,Not Completed,Completed,2019,No,,,
Participant 2880,Participant 2880,Wanita,19/11/1997,85000002880,Vocal - Choir,Yogyakarta,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2891,Participant 2891,Wanita,23/11/1998,85000002891,Vocal - Choir,Yogyakarta,Completed,Completed,Not Completed,Not Completed,Not Completed,2019,No,,,
Participant 2903,Participant 2903,Wanita,09/02/1999,85000002903,Vocal - Choir,Yogyakarta,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2918,Participant 2918,Wanita,06/04/1997,85000002918,Arts - Percussion,Yogyakarta,Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 2929,Participant 2929,Pria,23/11/1998,85000002929,Vocal - Choir,Yogyakarta,Completed,Not Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 2946,Participant 2946,Pria,18/04/2000,85000002946,Music - Drum,Yogyakarta,Completed,Completed,Not Completed,Completed,Not Completed,2019,Yes,,,
Participant 2948,Participant 2948,Wanita,21/04/2000,85000002948,Music - Keyboard,Yogyakarta,Completed,Completed,Not Completed,Completed,Not Completed,2019,No,,,
Participant 2954,Participant 2954,Pria,11/02/1986,85000002954,Music - Drum,Yogyakarta,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2955,Participant 2955,Wanita,19/10/1999,85000002955,Vocal - Choir,Yogyakarta,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 2965,Participant 2965,Pria,24/06/1985,85000002965,Music - Drum,Yogyakarta,Not Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 3003,Participant 3003,Pria,19/06/1998,85000003003,Music - Keyboard,Yogyakarta,Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 31,Participant 31,Pria,16/12/2001,85000000031,Music - Guitar,Solo,Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 468,Participant 468,Wanita,28/11/1994,85000000468,Vocal - Singer,Solo,Not Completed,Not Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 473,Participant 473,Pria,20/12/2000,85000000473,Music - Drum,Tangerang,Not Completed,Not Completed,Completed,Completed,Completed,2019,No,,,
Participant 535,Participant 535,Pria,02/10/2006,85000000535,Music - Drum,Solo,Completed,Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 1831,Participant 1831,Wanita,09/10/2004,85000001831,Arts - Percussion,Yogyakarta (Open Class),Not Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1832,Participant 1832,Wanita,15/07/1982,85000001832,Vocal - Singer,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1833,Participant 1833,Wanita,06/12/2000,85000001833,Vocal - Singer,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1834,Participant 1834,Wanita,23/03/1985,85000001834,Visual - Makeup,Yogyakarta (Open Class),Completed,Not Completed,Completed,Completed,Completed,2019,Yes,,,
PARTICIPANT 1835,PARTICIPANT 1835,Pria,07/06/2003,85000001835,Arts - Flag,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1836,Participant 1836,Pria,21/03/2001,85000001836,Music - Keyboard,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1837,Participant 1837,Pria,12/12/1997,85000001837,Music - Bass,Yogyakarta (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,No,,,
Participant 1838,Participant 1838,Wanita,22/12/2003,85000001838,Arts - Movement,Malang,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1839,Participant 1839,Wanita,17/06/2005,85000001839,Arts - Percussion,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1840,Participant 1840,Pria,28/04/1994,85000001840,Vocal - Singer,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1841,Participant 1841,Pria,09/08/1986,85000001841,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1842,Participant 1842,Pria,25/02/1991,85000001842,Music - Drum,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1843,Participant 1843,Pria,11/03/1981,85000001843,Music - Keyboard,Yogyakarta (Open Class),Completed,Not Completed,Completed,Not Completed,Not Completed,2019,No,,,
Participant 1844,Participant 1844,Pria,11/08/1985,85000001844,Audio - Engineer,Magelang,Not Completed,Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 1845,Participant 1845,Pria,07/04/1999,85000001845,Vocal - Singer,Yogyakarta (Open Class),Not Completed,Not Completed,Completed,Not Completed,Completed,2019,No,,,
Participant 1846,Participant 1846,Pria,08/11/1995,85000001846,Vocal - Singer,Malang,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1848,Participant 1848,Pria,16/11/1998,85000001848,Music - Guitar,Jakarta (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
Participant 1850,Participant 1850,Wanita,07/05/1979,85000001850,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 1851,Participant 1851,Wanita,21/11/2000,85000001851,Vocal - Singer,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1852,Participant 1852,Wanita,18/11/1992,85000001852,Vocal - Singer,Jakarta (Open Class),Completed,Not Completed,Completed,Completed,Completed,2019,No,,,
Participant 1853,Participant 1853,Wanita,06/05/1979,85000001853,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,No,,,
Participant 1854,Participant 1854,Pria,21/01/2002,85000001854,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1855,Participant 1855,Wanita,28/10/2002,85000001855,Visual - Makeup,Yogyakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
PARTICIPANT 1856,PARTICIPANT 1856,Pria,12/11/2004,85000001856,Music - Bass,Malang,Completed,Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 1857,Participant 1857,Wanita,13/08/1983,85000001857,Vocal - Singer,Jakarta (Open Class),Completed,Not Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1858,Participant 1858,Wanita,04/06/2006,85000001858,Arts - Percussion,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1859,Participant 1859,Pria,09/01/2005,85000001859,Music - Guitar,Solo (Open Class),Not Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1861,Participant 1861,Pria,28/12/1983,85000001861,Music - Keyboard,Solo (Open Class),Not Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1863,Participant 1863,Pria,18/08/1997,85000001863,Music - Drum,Malang,Not Completed,Not Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 1865,Participant 1865,Pria,09/09/2003,85000001865,Music - Drum,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1866,Participant 1866,Wanita,24/12/2007,85000001866,Arts - Percussion,Solo (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
Participant 1867,Participant 1867,Wanita,06/08/2003,85000001867,Vocal - Singer,Solo (Open Class),Completed,Not Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 1868,Participant 1868,Pria,20/01/2003,85000001868,Vocal - Singer,Jakarta (Open Class),Completed,Not Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1869,Participant 1869,Pria,26/09/2001,85000001869,Music - Guitar,Solo (Open Class),Not Completed,Completed,Completed,Not Completed,Completed,2019,No,,,
Participant 1870,Participant 1870,Wanita,18/10/1983,85000001870,Vocal - Lead,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1871,Participant 1871,Pria,12/08/1978,85000001871,Vocal - Singer,Solo (Open Class),Completed,Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 1872,Participant 1872,Pria,14/10/1971,85000001872,Vocal - Choir,Solo (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,No,,,
PARTICIPANT 1873,PARTICIPANT 1873,Wanita,05/11/1978,85000001873,Vocal - Singer,Solo  (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1874,Participant 1874,Wanita,27/10/1975,85000001874,Visual - Makeup,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1875,Participant 1875,Wanita,26/07/2001,85000001875,Arts - Percussion,Malang,Not Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1876,Participant 1876,Wanita,03/05/1976,85000001876,Vocal - Lead,Jakarta (Open Class),Completed,Completed,Not Completed,Completed,Not Completed,2019,No,,,
Participant 1877,Participant 1877,Wanita,05/09/1982,85000001877,Vocal - Lead,Jakarta (Open Class),Not Completed,Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 1878,Participant 1878,Wanita,25/09/1994,85000001878,Vocal - Choir,Solo (Open Class),Completed,Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 1880,Participant 1880,Wanita,04/02/1991,85000001880,Vocal - Singer,Jakarta (Open Class),Completed,Not Completed,Completed,Not Completed,Not Completed,2019,No,,,
Participant 1881,Participant 1881,Wanita,15/12/1983,85000001881,Vocal - Singer,Jakarta (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 1882,Participant 1882,Wanita,24/07/1997,85000001882,Vocal - Singer,Tangerang,Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1884,Participant 1884,Wanita,20/08/1977,85000001884,Vocal - Singer,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1885,Participant 1885,Pria,09/07/2000,85000001885,Audio - Engineer,Solo (Open Class),Completed,Completed,Not Completed,Not Completed,Completed,2019,No,,,
Participant 1886,Participant 1886,Wanita,11/04/1989,85000001886,Audio - Engineer,Jakarta (Open Class),Completed,Not Completed,Completed,Completed,Completed,2019,No,,,
Participant 1887,Participant 1887,Pria,18/11/1997,85000001887,Music - Keyboard,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1888,Participant 1888,Wanita,04/07/1997,85000001888,Arts - Percussion,Malang,Completed,Completed,Completed,Completed,Completed,2019,No,,,
participant 1889,participant 1889,Wanita,26/07/2007,85000001889,Arts - Percussion,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1890,Participant 1890,Wanita,23/08/2002,85000001890,Vocal - Singer,Solo (Open Class),Completed,Not Completed,Completed,Completed,Completed,2019,Yes,,,
PARTICIPANT 1892,PARTICIPANT 1892,Pria,09/03/1996,85000001892,Vocal - Singer,Solo (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
participant 631,participant 631,Pria,23/02/1960,85000000631,Music - Drum,Jakarta,Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1894,Participant 1894,Pria,23/03/2007,85000001894,Music - Keyboard,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1896,Participant 1896,Pria,27/03/1995,85000001896,Audio - Engineer,Solo (Open Class),Completed,Not Completed,Completed,Not Completed,Not Completed,2019,No,,,
Participant 1897,Participant 1897,Pria,21/05/2005,85000001897,Music - Drum,Solo (Open Class),Not Completed,Not Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 1898,Participant 1898,Wanita,10/10/2007,85000001898,Arts - Percussion,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1900,Participant 1900,Wanita,26/09/1968,85000001900,Vocal - Lead,Jakarta (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1901,Participant 1901,Wanita,26/05/2003,85000001901,Arts - Percussion,Solo (Open Class),Completed,Completed,Not Completed,Completed,Not Completed,2019,Yes,,,
Participant 1902,Participant 1902,Pria,10/09/2006,85000001902,Music - Guitar,Malang,Not Completed,Completed,Not Completed,Completed,Completed,2019,No,,,
Participant 1903,Participant 1903,Wanita,04/06/1982,85000001903,Vocal - Singer,Solo  (Open Class),Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
Participant 633,Participant 633,Wanita,02/12/2000,85000000633,Vocal - Singer,Bali,Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1904,Participant 1904,Wanita,16/09/2007,85000001904,Music - Guitar,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1905,Participant 1905,Pria,16/11/2006,85000001905,Music - Keyboard,Solo (Open Class),Completed,Completed,Not Completed,Completed,Completed,2019,Yes,,,
Participant 1906,Participant 1906,Pria,10/10/2005,85000001906,Music - Drum,Malang,Completed,Completed,Completed,Completed,Not Completed,2019,Yes,,,
Participant 1907,Participant 1907,Pria,16/01/2006,85000001907,Music - Guitar,Solo (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 1908,Participant 1908,Wanita,23/08/2002,85000001908,Arts - Percussion,Jakarta (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,Yes,,,
Participant 1909,Participant 1909,Pria,19/12/1983,85000001909,Vocal - Singer,Madiun,Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1912,Participant 1912,Wanita,08/06/2003,85000001912,Arts - Percussion,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,No,,,
Participant 1913,Participant 1913,Wanita,23/04/2005,85000001913,Vocal - Singer,Madiun,Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 638,Participant 638,Wanita,21/05/1980,85000000638,Vocal - Singer,Samarinda,Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1914,Participant 1914,Wanita,07/07/1991,85000001914,Vocal - Singer,Solo (Open Class),Completed,No,Not Completed,Completed,Completed,2019,No,,,
Participant 1917,Participant 1917,Wanita,06/12/1998,85000001917,Arts - Percussion,Malang,Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1918,Participant 1918,Wanita,05/10/1970,85000001918,Vocal - Singer,Solo (Open Class),Completed,Completed,Completed,Not Completed,Completed,2019,No,,,
Participant 1919,Participant 1919,Wanita,03/12/1981,85000001919,Visual - Makeup,Solo (Open Class),Not Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1922,Participant 1922,Wanita,11/11/2005,85000001922,Arts - Percussion,Solo (Open Class),Completed,Completed,Completed,Completed,Completed,2019,Yes,,,
Participant 1923,Participant 1923,Pria,01/09/1985,85000001923,Vocal - Singer,Solo (Open Class),Completed,Completed,Not Completed,Completed,Completed,2019,Yes,,,
