FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,CHECKLIST A,CHECKLIST B,CHECKLIST C,CHECKLIST D,CHECKLIST E,ADMISSION STATUS,PERUBAHAN,,,
Participant 977,Participant 977,Wanita,09/03/2004,85000000977,Arts - Movement,Solo (Open Class),No,No,Yes,No,Yes,Yes,,,,
Participant 1036,Participant 1036,Wanita,12/07/1999,85000001036,Arts - Movement,Yogyakarta (Open Class),No,Yes,Yes,No,Yes,No,,,,
Participant 1039,Participant 1039,Wanita,18/06/2005,85000001039,Arts - Movement,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1041,Participant 1041,Wanita,12/06/2005,85000001041,Arts - Movement,Solo (Open Class),Yes,Yes,Yes,No,Yes,No,,,,
Participant 1043,Participant 1043,Wanita,02/10/2005,85000001043,Arts - Movement,Surabaya,No,Yes,Yes,No,No,Yes,,,,
Participant 1051,Participant 1051,Pria,22/04/1996,85000001051,Arts - Movement,Yogyakarta (Open Class),Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1205,Participant 1205,Pria,16/11/2000,85000001205,Arts - Movement,Solo (Open Class),Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1303,Participant 1303,Wanita,22/08/2000,85000001303,Arts - Movement,Yogyakarta (Open Class),Yes,Yes,Yes,No,Yes,Yes,,,,
PARTICIPANT 2744,PARTICIPANT 2744,Pria,12/04/1989,85000002744,Arts - Movement,Yogyakarta,Yes,No,Yes,Yes,Yes,No,,,,
Participant 2780,Participant 2780,Wanita,19/01/1998,85000002780,Arts - Movement,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 2784,Participant 2784,Pria,22/01/1999,85000002784,Arts - Movement,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 2786,Participant 2786,Wanita,31/07/1999,85000002786,Arts - Movement,Yogyakarta,No,Yes,No,Yes,No,Yes,,,,
Participant 2607,Participant 2607,Wanita,23/12/1990,85000002607,Arts - Movement,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 2813,Participant 2813,Wanita,17/02/2004,85000002813,Arts - Movement,Yogyakarta,Yes,Yes,No,No,Yes,Yes,,,,
Participant 2817,Participant 2817,Wanita,25/08/1993,85000002817,Arts - Movement,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 11,Participant 11,Wanita,02/04/2002,85000000011,Arts - Percussion,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1224,Participant 1224,Wanita,27/02/1993,85000001224,Arts - Percussion,Solo (Open Class),No,Yes,No,Yes,Yes,Yes,,,,
Participant 148,Participant 148,Wanita,30/06/1999,85000000148,Arts - Percussion,Solo,Yes,No,Yes,Yes,Yes,No,,,,
Participant 2571,Participant 2571,Wanita,10/10/1984,85000002571,Arts - Percussion,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 2574,Participant 2574,Wanita,09/11/1997,85000002574,Arts - Percussion,Yogyakarta,No,No,Yes,No,Yes,Yes,,,,
Participant 2576,Participant 2576,Wanita,17/11/1992,85000002576,Arts - Percussion,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2587,Participant 2587,Wanita,28/11/1992,85000002587,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2591,Participant 2591,Wanita,30/08/1997,85000002591,Arts - Percussion,Yogyakarta,No,Yes,No,Yes,Yes,Yes,,,,
Participant 2595,Participant 2595,Wanita,04/08/1998,85000002595,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2596,Participant 2596,Wanita,14/01/1997,85000002596,Arts - Percussion,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2605,Participant 2605,Wanita,03/09/1996,85000002605,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2608,Participant 2608,Wanita,29/12/2001,85000002608,Arts - Percussion,Yogyakarta,Yes,No,No,Yes,No,No,,,,
participant 2614,participant 2614,Wanita,27/01/1997,85000002614,Arts - Percussion,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 2625,PARTICIPANT 2625,Wanita,01/05/1986,85000002625,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,No,No,No,,,,
Participant 2627,Participant 2627,Wanita,07/02/1998,85000002627,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2629,Participant 2629,Wanita,31/01/1997,85000002629,Arts - Percussion,Yogyakarta,No,Yes,No,Yes,Yes,Yes,,,,
Participant 2632,Participant 2632,Wanita,27/06/1998,85000002632,Arts - Percussion,Yogyakarta,No,Yes,No,No,Yes,Yes,,,,
Participant 2659,Participant 2659,Wanita,18/03/2000,85000002659,Arts - Percussion,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 2677,Participant 2677,Wanita,13/03/1993,85000002677,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2703,Participant 2703,Wanita,17/01/1999,85000002703,Arts - Percussion,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 2716,Participant 2716,Wanita,01/10/2001,85000002716,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2718,Participant 2718,Wanita,21/07/1997,85000002718,Arts - Percussion,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 2719,Participant 2719,Wanita,29/06/2000,85000002719,Arts - Percussion,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 2722,Participant 2722,Wanita,04/09/1997,85000002722,Arts - Percussion,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 2724,Participant 2724,Wanita,18/11/1997,85000002724,Arts - Percussion,Yogyakarta,No,No,Yes,Yes,Yes,Yes,,,,
Participant 888,Participant 888,Wanita,24/11/2004,85000000888,Arts - Percussion,Magelang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 890,Participant 890,Wanita,02/09/2005,85000000890,Arts - Percussion,Magelang,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 907,Participant 907,Wanita,01/02/2000,85000000907,Arts - Percussion,Jakarta (Open Class),No,Yes,Yes,Yes,Yes,No,,,,
Participant 915,Participant 915,Wanita,04/10/2001,85000000915,Arts - Percussion,Solo (Open Class),Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 920,Participant 920,Wanita,26/07/2003,85000000920,Arts - Percussion,Solo (Open Class),Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 945,Participant 945,Wanita,11/04/2004,85000000945,Arts - Percussion,Surabaya,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 946,Participant 946,Wanita,07/06/1996,85000000946,Arts - Percussion,Jakarta (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 950,Participant 950,Wanita,03/08/2003,85000000950,Arts - Percussion,Solo (Open Class),Yes,No,Yes,Yes,No,Yes,,,,
Participant 980,Participant 980,Wanita,04/11/2004,85000000980,Arts - Percussion,Solo (Open Class),Yes,Yes,Yes,No,Yes,No,,,,
Participant 993,Participant 993,Wanita,01/10/2002,85000000993,Arts - Percussion,Yogyakarta (Open Class),Yes,Yes,Yes,No,Yes,Yes,,,,
PARTICIPANT 1013,PARTICIPANT 1013,Wanita,10/06/1994,85000001013,Arts - Percussion,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1025,Participant 1025,Wanita,16/02/2001,85000001025,Arts - Percussion,Yogyakarta (Open Class),No,Yes,No,Yes,Yes,No,,,,
Participant 1073,Participant 1073,Wanita,25/11/2002,85000001073,Arts - Percussion,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1085,Participant 1085,Wanita,04/06/2003,85000001085,Arts - Percussion,Surabaya,Yes,Yes,Yes,Yes,No,No,,,,
participant 1099,participant 1099,Wanita,18/02/2000,85000001099,Arts - Percussion,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1101,Participant 1101,Wanita,03/07/1997,85000001101,Arts - Percussion,Jakarta (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1102,Participant 1102,Wanita,21/06/2004,85000001102,Arts - Percussion,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1103,Participant 1103,Wanita,17/04/2003,85000001103,Arts - Percussion,Solo (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1120,Participant 1120,Wanita,15/07/2003,85000001120,Arts - Percussion,Solo (Open Class),Yes,Yes,Yes,No,Yes,No,,,,
Participant 1124,Participant 1124,Wanita,14/01/2004,85000001124,Arts - Percussion,Solo (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1140,Participant 1140,Wanita,12/02/2003,85000001140,Arts - Percussion,Surabaya,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1146,Participant 1146,Wanita,21/08/1998,85000001146,Arts - Percussion,Yogyakarta (Open Class),Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 1148,Participant 1148,Wanita,19/05/2002,85000001148,Arts - Percussion,Surabaya,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1158,Participant 1158,Wanita,14/09/2000,85000001158,Arts - Percussion,Yogyakarta (Open Class),Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1160,Participant 1160,Wanita,14/09/1999,85000001160,Arts - Percussion,Semarang,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1179,Participant 1179,Wanita,26/01/2004,85000001179,Arts - Percussion,Solo (Open Class),No,No,Yes,Yes,Yes,Yes,,,,
participant 1180,participant 1180,Wanita,23/01/2005,85000001180,Arts - Percussion,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1201,Participant 1201,Wanita,26/04/2000,85000001201,Arts - Percussion,Solo (Open Class),Yes,Yes,No,Yes,No,No,,,,
Participant 1204,Participant 1204,Wanita,20/06/1999,85000001204,Arts - Percussion,Solo (Open Class),Yes,No,No,Yes,Yes,Yes,,,,
Participant 1212,Participant 1212,Wanita,14/02/2002,85000001212,Arts - Percussion,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1225,Participant 1225,Wanita,05/07/2004,85000001225,Arts - Percussion,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1246,Participant 1246,Wanita,18/04/2001,85000001246,Arts - Percussion,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1248,Participant 1248,Wanita,26/05/2002,85000001248,Arts - Percussion,Magelang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1266,Participant 1266,Wanita,14/04/2000,85000001266,Arts - Percussion,Yogyakarta (Open Class),No,Yes,No,Yes,Yes,No,,,,
Participant 1278,Participant 1278,Wanita,08/02/2003,85000001278,Arts - Percussion,Yogyakarta (Open Class),No,Yes,Yes,No,Yes,Yes,,,,
Participant 1279,Participant 1279,Wanita,22/06/2003,85000001279,Arts - Percussion,Yogyakarta (Open Class),Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1284,Participant 1284,Wanita,17/11/2004,85000001284,Arts - Percussion,Klaten,No,Yes,Yes,Yes,Yes,No,,,,
Participant 1285,Participant 1285,Wanita,26/05/2000,85000001285,Arts - Percussion,Klaten,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1287,Participant 1287,Wanita,29/07/1998,85000001287,Arts - Percussion,Semarang,Yes,No,Yes,Yes,No,No,,,,
Participant 1294,Participant 1294,Wanita,22/06/2003,85000001294,Arts - Percussion,Yogyakarta (Open Class),Yes,Yes,No,No,Yes,Yes,,,,
Participant 1306,Participant 1306,Wanita,30/11/1999,85000001306,Arts - Percussion,Yogyakarta (Open Class),No,Yes,Yes,Yes,No,Yes,,,,
Participant 2728,Participant 2728,Wanita,13/03/1996,85000002728,Arts - Percussion,Yogyakarta,Yes,Yes,No,Yes,No,Yes,,,,
Participant 2729,Participant 2729,Wanita,28/08/2000,85000002729,Arts - Percussion,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2736,Participant 2736,Wanita,05/11/1997,85000002736,Arts - Percussion,Yogyakarta,Yes,Yes,No,Yes,Yes,No,,,,
Participant 2740,Participant 2740,Wanita,28/02/2002,85000002740,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 2742,PARTICIPANT 2742,Wanita,11/04/1998,85000002742,Arts - Percussion,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 2743,Participant 2743,Wanita,19/09/1996,85000002743,Arts - Percussion,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
participant 2747,participant 2747,Wanita,26/06/2002,85000002747,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2749,Participant 2749,Wanita,18/10/2001,85000002749,Arts - Percussion,Yogyakarta,Yes,Yes,No,No,Yes,Yes,,,,
Participant 2750,Participant 2750,Wanita,20/10/1996,85000002750,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2754,Participant 2754,Wanita,05/05/1998,85000002754,Arts - Percussion,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1309,Participant 1309,Wanita,27/11/1998,85000001309,Arts - Percussion,Solo (Open Class),Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 2756,Participant 2756,Wanita,02/02/2000,85000002756,Arts - Percussion,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2757,Participant 2757,Wanita,25/12/1997,85000002757,Arts - Percussion,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 2758,Participant 2758,Wanita,10/01/1998,85000002758,Arts - Percussion,Yogyakarta,No,No,Yes,Yes,Yes,Yes,,,,
Participant 2764,Participant 2764,Wanita,06/10/1997,85000002764,Arts - Percussion,Yogyakarta,No,Yes,No,Yes,Yes,Yes,,,,
Participant 1335,Participant 1335,Wanita,21/04/2000,85000001335,Arts - Percussion,Solo (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1339,Participant 1339,Wanita,26/04/2000,85000001339,Arts - Percussion,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2779,Participant 2779,Wanita,21/01/1999,85000002779,Arts - Percussion,Yogyakarta,No,No,No,Yes,Yes,No,,,,
Participant 2789,Participant 2789,Wanita,29/07/1999,85000002789,Arts - Percussion,Yogyakarta,Yes,No,Yes,Yes,No,Yes,,,,
Participant 2790,Participant 2790,Wanita,16/07/2002,85000002790,Arts - Percussion,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 2803,Participant 2803,Wanita,03/10/1999,85000002803,Arts - Percussion,Yogyakarta,No,Yes,Yes,Yes,Yes,No,,,,
Participant 1350,Participant 1350,Wanita,31/10/2005,85000001350,Arts - Percussion,Solo (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
participant 2809,participant 2809,Wanita,19/04/1998,85000002809,Arts - Percussion,Yogyakarta,Yes,Yes,No,Yes,Yes,No,,,,
Participant 1356,Participant 1356,Wanita,26/09/2000,85000001356,Arts - Percussion,Yogyakarta (Open Class),No,Yes,No,No,No,Yes,,,,
Participant 2816,Participant 2816,Wanita,03/09/1998,85000002816,Arts - Percussion,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 458,PARTICIPANT 458,Wanita,24/08/2001,85000000458,Arts - Percussion,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 499,Participant 499,Wanita,14/06/1999,85000000499,Arts - Percussion,Solo,Yes,No,No,Yes,Yes,Yes,,,,
PARTICIPANT 533,PARTICIPANT 533,Wanita,06/10/2000,85000000533,Arts - Percussion,Bali,Yes,Yes,Yes,Yes,Yes,No,,,,
PARTICIPANT 545,PARTICIPANT 545,Wanita,15/10/1992,85000000545,Arts - Percussion,Solo,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 594,PARTICIPANT 594,Wanita,21/07/1998,85000000594,Arts - Percussion,Madiun,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 690,Participant 690,Wanita,31/05/1996,85000000690,Arts - Percussion,Jakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 736,Participant 736,Wanita,30/05/1997,85000000736,Arts - Percussion,Tangerang,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 826,Participant 826,Wanita,15/08/1997,85000000826,Arts - Percussion,Bali,No,Yes,Yes,Yes,No,Yes,,,,
Participant 2560,Participant 2560,Pria,02/12/1982,85000002560,Audio - Engineer,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2585,Participant 2585,Pria,30/09/1993,85000002585,Audio - Engineer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 2622,PARTICIPANT 2622,Pria,06/05/1983,85000002622,Audio - Engineer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2688,Participant 2688,Pria,13/05/1997,85000002688,Audio - Engineer,Yogyakarta,Yes,Yes,No,Yes,Yes,No,,,,
Participant 2701,Participant 2701,Pria,10/09/2002,85000002701,Audio - Engineer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2714,Participant 2714,Pria,26/05/1981,85000002714,Audio - Engineer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 937,Participant 937,Pria,01/10/1998,85000000937,Audio - Engineer,Magelang,Yes,No,Yes,Yes,No,Yes,,,,
Participant 940,Participant 940,Pria,02/03/1992,85000000940,Audio - Engineer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
participant 954,participant 954,Pria,04/04/2005,85000000954,Audio - Engineer,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 976,Participant 976,Wanita,04/07/1992,85000000976,Audio - Engineer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 1128,Participant 1128,Pria,27/04/2005,85000001128,Audio - Engineer,WoNot Completedsari,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1133,Participant 1133,Pria,25/09/1999,85000001133,Audio - Engineer,Magelang,Yes,No,Yes,No,Yes,Yes,,,,
Participant 1168,Participant 1168,Pria,27/03/2000,85000001168,Audio - Engineer,Magelang,Yes,Yes,No,Yes,Yes,No,,,,
participant 1173,participant 1173,Pria,10/10/1983,85000001173,Audio - Engineer,Magelang,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 1177,Participant 1177,Pria,06/08/1996,85000001177,Audio - Engineer,Yogyakarta (Open Class),Yes,Yes,Yes,No,Yes,No,,,,
participant 2739,participant 2739,Pria,27/08/1984,85000002739,Audio - Engineer,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1314,Participant 1314,Pria,09/01/1987,85000001314,Audio - Engineer,Nias,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1352,Participant 1352,Pria,05/08/2000,85000001352,Audio - Engineer,Yogyakarta (Open Class),Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1361,Participant 1361,Pria,29/04/1974,85000001361,Audio - Engineer,Solo (Open Class),Yes,Yes,No,Yes,Yes,Yes,,,,
PARTICIPANT 2570,PARTICIPANT 2570,Pria,19/01/2002,85000002570,Music - Bass,Yogyakarta,Yes,Yes,Yes,Yes,No,No,,,,
Participant 2611,Participant 2611,Pria,25/07/1995,85000002611,Music - Bass,Yogyakarta,No,Yes,Yes,Yes,No,Yes,,,,
Participant 2653,Participant 2653,Pria,28/08/1993,85000002653,Music - Bass,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2662,Participant 2662,Pria,05/10/1995,85000002662,Music - Bass,Yogyakarta,Yes,,Yes,Yes,Yes,Yes,,,,
Participant 2693,Participant 2693,Pria,20/11/1998,85000002693,Music - Bass,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 933,Participant 933,Pria,27/09/2003,85000000933,Music - Bass,Yogyakarta (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 971,Participant 971,Pria,07/02/2000,85000000971,Music - Bass,Solo  (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 984,Participant 984,Pria,16/02/1997,85000000984,Music - Bass,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1008,Participant 1008,Pria,16/02/1997,85000001008,Music - Bass,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 1037,PARTICIPANT 1037,Pria,31/05/1993,85000001037,Music - Bass,Jakarta (Open Class),Yes,Yes,Yes,No,Yes,No,,,,
Participant 1091,Participant 1091,Pria,08/05/2002,85000001091,Music - Bass,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1107,Participant 1107,Pria,10/06/1979,85000001107,Music - Bass,Surabaya,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1132,Participant 1132,Pria,11/11/1991,85000001132,Music - Bass,WoNot Completedsari,Yes,Yes,Yes,No,Yes,Yes,,,,
PARTICIPANT 1164,PARTICIPANT 1164,Pria,23/03/2000,85000001164,Music - Bass,Surabaya,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1222,Participant 1222,Pria,21/12/1999,85000001222,Music - Bass,Yogyakarta (Open Class),Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1282,Participant 1282,Pria,28/10/2002,85000001282,Music - Bass,Klaten,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 1311,Participant 1311,Pria,25/01/2003,85000001311,Music - Bass,Solo (Open Class),No,No,No,Yes,Yes,Yes,,,,
Participant 1326,Participant 1326,Pria,29/03/1986,85000001326,Music - Bass,Yogyakarta (Open Class),Yes,Yes,No,Yes,No,Yes,,,,
Participant 2792,Participant 2792,Pria,30/09/1999,85000002792,Music - Bass,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2794,Participant 2794,Wanita,12/04/1995,85000002794,Music - Bass,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1358,Participant 1358,Pria,29/04/2005,85000001358,Music - Bass,Solo (Open Class),Yes,Yes,Yes,Yes,No,No,,,,
Participant 763,Participant 763,Pria,22/06/2001,85000000763,Music - Bass,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1046,Participant 1046,Pria,28/04/1987,85000001046,Music - Drum,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1171,Participant 1171,Pria,17/02/1992,85000001171,Music - Drum,Jakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2566,Participant 2566,Pria,03/03/1987,85000002566,Music - Drum,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 2573,Participant 2573,Pria,20/04/1983,85000002573,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2583,Participant 2583,Pria,12/05/1995,85000002583,Music - Drum,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 2599,Participant 2599,Wanita,09/04/1997,85000002599,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2602,Participant 2602,Pria,03/09/1992,85000002602,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 2613,Participant 2613,Pria,03/12/1994,85000002613,Music - Drum,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
participant 2638,participant 2638,Pria,03/10/1994,85000002638,Music - Drum,Yogyakarta,Yes,Yes,No,No,Yes,Yes,,,,
participant 2639,participant 2639,Pria,30/04/1996,85000002639,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 2663,Participant 2663,Pria,14/01/2005,85000002663,Music - Drum,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 2664,Participant 2664,Wanita,10/01/1996,85000002664,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2671,Participant 2671,Pria,21/12/1992,85000002671,Music - Drum,Yogyakarta,No,Yes,Yes,Yes,Yes,No,,,,
Participant 2681,Participant 2681,Pria,28/04/1999,85000002681,Music - Drum,Yogyakarta,Yes,No,Yes,Yes,No,Yes,,,,
Participant 2721,Participant 2721,Pria,17/04/1996,85000002721,Music - Drum,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 873,Participant 873,Pria,17/02/1992,85000000873,Music - Drum,Jakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
