FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,CHECKLIST A,CHECKLIST B,CHECKLIST C,CHECKLIST D,CHECKLIST E,ADMISSION STATUS,,,
Participant 2482,Participant 2482,Pria,06/06/1995,85000002482,Music - Bass,Yogyakarta,No,Yes,Yes,No,Yes,No,,,
Participant 2426,Participant 2426,Pria,08/06/1999,85000002426,Music - Drum,Yogyakarta,No,Yes,Yes,No,Yes,No,,,
Participant 2427,Participant 2427,Pria,20/04/1996,85000002427,Music - Drum,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,
Participant 2433,Participant 2433,Pria,07/08/1995,85000002433,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,
Participant 2434,Participant 2434,Pria,12/12/1991,85000002434,Music - Drum,Yogyakarta,No,Yes,Yes,No,No,Yes,,,
Participant 2453,Participant 2453,Pria,28/05/1992,85000002453,Music - Drum,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,
Participant 2455,Participant 2455,Pria,28/12/1960,85000002455,Music - Drum,Yogyakarta,Yes,No,No,Yes,Yes,Yes,,,
Participant 2460,Participant 2460,Pria,24/07/1987,85000002460,Music - Drum,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,
Participant 2468,Participant 2468,Pria,26/08/1971,85000002468,Music - Drum,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,
Participant 2470,Participant 2470,Pria,06/04/1993,85000002470,Music - Drum,Yogyakarta,Yes,Yes,No,No,Yes,No,,,
Participant 2473,Participant 2473,Pria,03/10/1995,85000002473,Music - Drum,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,
Participant 2486,Participant 2486,Pria,09/05/1979,85000002486,Music - Drum,Yogyakarta,No,Yes,No,No,Yes,No,,,
Participant 2488,Participant 2488,Pria,26/01/1996,85000002488,Music - Drum,Yogyakarta,Yes,No,No,No,Yes,Yes,,,
Participant 2495,Participant 2495,Wanita,24/10/1990,85000002495,Music - Drum,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,
Participant 2500,Participant 2500,Pria,08/04/1996,85000002500,Music - Drum,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,
Participant 2501,Participant 2501,Pria,10/01/1993,85000002501,Music - Drum,Yogyakarta,No,No,Yes,No,Yes,Yes,,,
Participant 2508,Participant 2508,Pria,18/07/1998,85000002508,Music - Drum,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,
PARTICIPANT 2421,PARTICIPANT 2421,Pria,17/01/1999,85000002421,Music - Guitar,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,
participant 2422,participant 2422,Pria,17/01/1998,85000002422,Music - Guitar,Solo  (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,
Participant 2430,Participant 2430,Pria,03/03/1980,85000002430,Music - Guitar,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,
Participant 2438,Participant 2438,Pria,24/05/1996,85000002438,Music - Guitar,Yogyakarta,No,No,Yes,Yes,Yes,Yes,,,
Participant 2450,Participant 2450,Pria,02/07/1994,85000002450,Music - Guitar,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,
Participant 2478,Participant 2478,Wanita,19/04/1995,85000002478,Music - Guitar,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,
Participant 2432,Participant 2432,Pria,06/11/1981,85000002432,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,
Participant 2435,Participant 2435,Pria,24/03/1996,85000002435,Music - Keyboard,Yogyakarta,No,Yes,Yes,Yes,No,Yes,,,
Participant 2477,Participant 2477,Pria,28/10/1986,85000002477,Music - Keyboard,Yogyakarta,Yes,Yes,Yes,No,No,Yes,,,
Participant 2509,Participant 2509,Wanita,17/06/1998,85000002509,Music - Keyboard,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,
Participant 2490,Participant 2490,Wanita,19/11/1996,85000002490,Music - Saxophone,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,
Participant 2452,Participant 2452,Wanita,03/03/1979,85000002452,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,
Participant 2475,Participant 2475,Wanita,10/04/1990,85000002475,Vocal - Lead,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,
Participant 2503,Participant 2503,Wanita,17/05/1979,85000002503,Vocal - Lead,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,
Participant 2483,Participant 2483,Wanita,15/05/1993,85000002483,Vocal - Choir,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,
Participant 2484,Participant 2484,Wanita,11/08/1981,85000002484,Vocal - Choir,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,
Participant 2424,Participant 2424,Pria,17/09/1985,85000002424,Vocal - Singer,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,
Participant 2425,Participant 2425,Wanita,10/09/1991,85000002425,Vocal - Singer,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,
Participant 2429,Participant 2429,Wanita,06/12/1988,85000002429,Vocal - Singer,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,
Participant 2431,Participant 2431,Wanita,08/10/1992,85000002431,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,
Participant 2436,Participant 2436,Pria,17/01/1992,85000002436,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,
Participant 2440,Participant 2440,Wanita,29/05/1989,85000002440,Vocal - Singer,Yogyakarta,No,Yes,No,No,No,Yes,,,
Participant 2441,Participant 2441,Pria,16/04/1989,85000002441,Vocal - Singer,Yogyakarta,No,Yes,No,No,Yes,Yes,,,
Participant 2442,Participant 2442,Wanita,21/07/1993,85000002442,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,
Participant 2449,Participant 2449,Wanita,13/10/1998,85000002449,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,
Participant 2451,Participant 2451,Wanita,04/03/2002,85000002451,Vocal - Singer,Yogyakarta,No,Yes,No,No,Yes,No,,,
Participant 2454,Participant 2454,Pria,06/05/1984,85000002454,Vocal - Singer,Yogyakarta,No,No,Yes,Yes,Yes,Yes,,,
Participant 2456,Participant 2456,Wanita,03/10/1972,85000002456,Vocal - Singer,Yogyakarta,No,Yes,No,No,Yes,Yes,,,
Participant 2461,Participant 2461,Pria,10/10/1983,85000002461,Vocal - Singer,Yogyakarta,No,No,Yes,Yes,Yes,Yes,,,
Participant 2462,Participant 2462,Pria,19/06/1988,85000002462,Vocal - Singer,Yogyakarta,Yes,No,Yes,No,Yes,No,,,
Participant 2464,Participant 2464,Pria,18/11/1989,85000002464,Vocal - Singer,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,
Participant 2467,Participant 2467,Wanita,08/08/1994,85000002467,Vocal - Singer,Yogyakarta,No,No,Yes,No,No,Yes,,,
Participant 2469,Participant 2469,Wanita,08/03/1987,85000002469,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,
Participant 2471,Participant 2471,Wanita,20/03/1997,85000002471,Vocal - Singer,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,
Participant 2472,Participant 2472,Wanita,09/11/1996,85000002472,Vocal - Singer,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,
Participant 2474,Participant 2474,Wanita,06/10/1992,85000002474,Vocal - Singer,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,
Participant 2476,Participant 2476,Pria,31/12/1988,85000002476,Vocal - Singer,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,
Participant 2479,Participant 2479,Wanita,19/11/1996,85000002479,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,
Participant 2481,Participant 2481,Pria,21/07/1994,85000002481,Vocal - Singer,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,
Participant 2487,Participant 2487,Pria,25/12/1986,85000002487,Vocal - Singer,Yogyakarta,Yes,No,Yes,No,Yes,Yes,,,
Participant 2489,Participant 2489,Pria,01/01/1975,85000002489,Vocal - Singer,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,
Participant 2491,Participant 2491,Wanita,03/12/1998,85000002491,Vocal - Singer,Yogyakarta,No,Yes,Yes,No,Yes,No,,,
Participant 2494,Participant 2494,Pria,20/05/1995,85000002494,Vocal - Singer,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,
Participant 2497,Participant 2497,Wanita,30/01/1998,85000002497,Vocal - Singer,Yogyakarta,No,No,Yes,No,No,Yes,,,
Participant 2498,Participant 2498,Wanita,01/01/2000,85000002498,Vocal - Singer,Yogyakarta,No,Yes,Yes,No,No,Yes,,,
Participant 2499,Participant 2499,Wanita,29/08/1992,85000002499,Vocal - Singer,Yogyakarta,Yes,No,Yes,No,Yes,Yes,,,
Participant 2502,Participant 2502,Wanita,27/02/1993,85000002502,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,No,Yes,No,,,
Participant 2504,Participant 2504,Wanita,10/09/1975,85000002504,Vocal - Singer,Yogyakarta,Yes,No,Yes,No,Yes,Yes,,,
Participant 2505,Participant 2505,Pria,01/02/1986,85000002505,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,No,No,,,
Participant 2507,Participant 2507,Pria,17/01/1998,85000002507,Vocal - Singer,Yogyakarta,No,Yes,Yes,No,No,Yes,,,
Participant 2511,Participant 2511,Pria,12/02/1990,85000002511,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,No,No,,,
